n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38943976 78182149 39120615 39271110 39268760 39261342 39260388 39268620 39257865 39258804 39262070 39256049 39252795 39244998 39259465 39247234 39247674 39245523 39252890 39246696 39255642 39237222 39246087 39231262 39240286 39252893 39231115 39238224 39238128 39226404 39217962 39218834 
1 39047777 38748902 39070581 39053060 39045544 39055031 39045966 39038207 39038965 39049299 39051169 39036429 39036394 39044217 39041339 39049273 39053904 39038661 39037632 39046719 39046519 39040745 39047503 39039146 39047085 39042799 39039902 39042139 39046907 39045270 39048816 39036516 
2 39079576 38549594 39031024 39187106 39044512 39056610 39041787 39039241 39032190 39044736 39059821 39034318 39044362 39057112 39044351 39044134 39054038 39048695 39042488 39033857 39050833 39041053 39050170 39044982 39037498 39046141 39055178 39031664 39039661 39037475 39040723 39036078 
3 39110270 38799164 39109725 39039934 39054518 39053730 39042868 39046751 39040534 39043737 39026965 39059326 39042613 39045529 39042152 39042778 39039477 39044760 39047430 39054524 39054091 39038744 39048491 39049272 39043001 39051512 39046002 39043020 39037761 39047330 39052334 39051422 
4 39109236 38799076 39013070 39268947 39044548 39048912 39056939 39050853 39050734 39051832 39055113 39042133 39049100 39043252 39049059 39055174 39045692 39041472 39044992 39050239 39051613 39062216 39049230 39043519 39053402 39055702 39031056 39048752 39050488 39050906 39041101 39033758 
5 39101204 38804535 39020599 39020523 39310277 39022744 39048417 39049280 39042368 39041145 39047100 39044223 39042847 39038407 39039460 39044947 39051862 39045368 39043875 39042458 39047752 39039576 39041640 39040326 39035771 39039265 39035980 39050199 39047663 39049508 39041462 39060918 
6 39099653 38810593 39026428 39018648 39013362 39303798 39040590 39043887 39039221 39040890 39057439 39039210 39050991 39039828 39038919 39049220 39051734 39053007 39046024 39049835 39043693 39048598 39049552 39042034 39048557 39052332 39041487 39045117 39041378 39034347 39045602 39055313 
7 39090658 38813009 39030004 39003375 39019702 39018606 39315467 39042670 39052118 39047261 39051425 39046247 39043538 39045774 39041609 39056228 39043120 39038300 39044127 39054906 39044029 39060661 39051403 39043512 39049236 39051340 39044676 39037384 39044542 39037108 39043468 39036332 
8 39095035 38818453 39032818 39018291 39027848 39015714 39021537 39309754 39041590 39056953 39043675 39045886 39043109 39045389 39044491 39051866 39051631 39045006 39045063 39044016 39046887 39057707 39057602 39042200 39042419 39054958 39052640 39045841 39041630 39048531 39044641 39036799 
9 39087740 38803750 39023579 39016884 39026299 39026575 39024346 39021490 39308889 39030837 39060126 39044426 39052997 39051367 39047513 39050049 39043412 39048879 39053862 39042612 39041964 39049046 39048225 39047060 39045419 39046461 39045018 39047831 39041740 39049489 39043495 39049063 
10 39079889 38807194 39029268 39024130 39022493 39021748 39032854 39025781 39014241 39283927 39030839 39034935 39055090 39042839 39038515 39038339 39056572 39051986 39046964 39045807 39050708 39035325 39039575 39039951 39046861 39041016 39051198 39053330 39046544 39042083 39053785 39047679 
11 39079475 38811252 39018205 39022201 39016868 39019346 39013043 39029431 39031723 39021605 39277313 39027276 39050736 39048035 39046883 39039110 39046803 39051463 39040788 39035453 39045592 39034219 39037129 39056645 39049877 39049164 39053361 39040657 39054207 39046333 39056300 39046295 
12 39075578 38809840 39024774 39026810 39025407 39030043 39015304 39025210 39019296 39011087 39035228 39278160 39034194 39049925 39042763 39050893 39040958 39047188 39052311 39045635 39046790 39044459 39053508 39050862 39039200 39042447 39045375 39051649 39050830 39041825 39046112 39046761 
13 39066982 38819327 39023030 39019617 39027796 39026337 39018381 39019188 39015691 39026499 39022475 39018889 39286279 39041496 39057602 39042656 39047911 39052504 39033433 39041941 39046380 39046397 39041430 39039451 39054104 39038102 39050434 39048012 39042827 39040393 39039232 39043372 
14 39076574 38813729 39023958 39013314 39009411 39013462 39032066 39017361 39025834 39016438 39029949 39009916 39018837 39280184 39032384 39045834 39038864 39050274 39047084 39036364 39044988 39042788 39057920 39037634 39044161 39042447 39043259 39040543 39024519 39041261 39054570 39043854 
15 39078210 38833956 39018744 39020696 39020979 39015212 39014341 39014485 39016688 39025643 39030869 39028315 39028002 39014991 39264865 39040340 39047168 39048329 39042883 39044988 39045989 39043218 39046992 39039664 39055228 39048779 39054222 39050047 39047336 39040403 39045895 39050099 
16 39073485 38828678 39027797 39026347 39023740 39024374 39022964 39023485 39023563 39020027 39027690 39025582 39029082 39028804 39036314 39244865 39037460 39049200 39052101 39044808 39047828 39046912 39041027 39054609 39052281 39038945 39052422 39039197 39040834 39048754 39042843 39049621 
17 39058993 38832004 39028213 39025443 39031242 39026458 39031674 39016945 39024550 39022355 39019753 39020178 39024211 39016846 39026363 39015900 39258196 39039995 39052511 39048862 39049359 39056606 39044668 39048645 39040221 39047768 39046937 39048901 39042150 39031275 39037457 39041524 
18 39068550 38820278 39023571 39024232 39026546 39033167 39016116 39023064 39023885 39024787 39020599 39030007 39026101 39019191 39027049 39028711 39034287 39270465 39044641 39054998 39051817 39058363 39043846 39054088 39040141 39058315 39046765 39049507 39045648 39046222 39049021 39048716 
19 39060446 38820167 39018073 39019592 39022199 39028770 39019358 39035857 39024341 39032321 39022571 39011636 39036070 39025259 39028342 39004280 39020210 39025989 39269688 39039834 39042679 39032077 39053606 39048419 39053285 39046329 39040705 39056812 39038336 39047807 39034423 39036125 
20 39047898 38821268 39024604 39028322 39021782 39019090 39018413 39016753 39014969 39032533 39012371 39023959 39035619 39024734 39026533 39023066 39024321 39017356 39014570 39251830 39036463 39049651 39047352 39039532 39049692 39051255 39052050 39041962 39045646 39037533 39034790 39035944 
21 39058646 38829716 39020734 39023145 39023950 39022122 39020969 39027543 39036026 39039537 39036616 39037408 39024195 39028061 39024677 39006949 39035180 39028830 39023853 39027096 39260935 39031903 39043887 39051949 39039550 39051959 39045767 39043129 39045128 39042076 39047501 39047646 
22 39054877 38822382 39029525 39019475 39020611 39015102 39022203 39022590 39013907 39021515 39017323 39025188 39024589 39027559 39018163 39013236 39018233 39032128 39015259 39028635 39020482 39253628 39048609 39061709 39053157 39051835 39048311 39044078 39057270 39038986 39046704 39052934 
23 39035963 38844660 39028972 39030357 39019658 39014789 39028035 39031805 39033388 39027571 39026432 39017747 39022505 39023419 39023091 39022728 39024434 39020861 39011573 39039534 39031265 39019893 39252056 39036738 39057047 39058303 39055081 39043488 39047600 39037409 39044161 39040872 
24 39041868 38821229 39037411 39023303 39015484 39030260 39020709 39013767 39025772 39031306 39009638 39020304 39026501 39030632 39017546 39017252 39030298 39026148 39030352 39025108 39028440 39025970 39034080 39248498 39044485 39048667 39048957 39041215 39052672 39048378 39049920 39048939 
25 39038480 38832679 39020630 39027240 39023980 39031686 39026097 39017611 39016475 39017816 39019757 39013188 39026184 39025123 39027647 39027890 39023300 39024291 39021912 39019814 39031072 39037485 39026437 39022788 39253715 39050125 39053858 39041081 39049256 39041451 39050340 39042899 
26 39045452 38847850 39025951 39020798 39023994 39017009 39018236 39019532 39023008 39026150 39028985 39031254 39028066 39025640 39025898 39023979 39026046 39032902 39029504 39022267 39032661 39028654 39024715 39024675 39029450 39242683 39032532 39058552 39050023 39053576 39048216 39048876 
27 39036737 38843322 39026951 39023821 39029850 39027660 39025482 39022987 39040516 39027182 39035836 39025265 39031323 39027557 39026561 39013105 39032207 39030648 39018995 39043780 39011508 39026436 39028000 39028994 39028091 39020325 39240501 39048597 39044824 39050347 39050009 39054451 
28 39042395 38836255 39034898 39025734 39023052 39022388 39018813 39036626 39011813 39035295 39024604 39022229 39020618 39031877 39024078 39012723 39028324 39022076 39027592 39026701 39016591 39027410 39027350 39027860 39030858 39030710 39024706 39234941 39053409 39052000 39046046 39049136 
29 39033771 38839249 39043528 39034593 39021670 39037320 39024941 39019751 39045191 39029767 39023782 39031578 39022175 39024235 39016513 39020052 39020671 39025680 39030035 39036266 39034314 39022296 39026054 39029099 39026315 39041371 39032631 39032272 39229894 39044840 39052737 39046860 
30 39039699 38837847 39017939 39025140 39017339 39021763 39034161 39027909 39029462 39036612 39028182 39016218 39029917 39021666 39033290 39021661 39029207 39038679 39030197 39021425 39035865 39032445 39027185 39011445 39025835 39027921 39028656 39031256 39018711 39229094 39042966 39046706 
31 39034569 38825183 39035687 39025358 39027832 39032444 39030965 39015110 39026046 39024657 39028302 39031748 39029850 39033316 39021398 39010923 39033083 39023210 39023679 39022352 39035562 39010675 39025800 39033058 39020288 39034570 39036774 39018798 39032610 39031464 39240788 39039011 
32 39034781 38852665 39031726 39029067 39022877 39025750 39033857 39012679 39030486 39028505 39021305 39025662 39022458 39023218 39027885 39011261 39042318 39020987 39030644 39030399 39030594 39027806 39034269 39026613 39021436 39023189 39019438 39023668 39024181 39032048 39019397 39210638 
33 39028628 38843135 39035223 39024177 39035713 39022665 39033668 39031628 39020897 39031045 39028800 39029619 39015693 39023357 39021013 39026964 39023269 39016392 39017353 39028830 39028531 39027804 39023882 39011896 39016810 39036574 39029518 39029221 39049361 39029572 39035420 39021236 
34 39021396 38831877 39023435 39013539 39026877 39022919 39022991 39028990 39026886 39018731 39024276 39023532 39022174 39017835 39035098 39022994 39032781 39024333 39026419 39030298 39022921 39035055 39025822 39033742 39025970 39022454 39036291 39021907 39029645 39025767 39025847 39023001 
35 39044754 38837851 39024910 39026394 39034091 39026609 39023646 39020184 39039293 39017735 39035027 39013865 39026589 39043440 39033159 39036223 39033052 39029014 39039571 39025706 39025243 39033577 39031141 39036040 39022751 39020614 39031880 39025055 39033649 39032400 39040299 39029004 
36 39037991 38854195 39032091 39017543 39033125 39034639 39034609 39025666 39022487 39033669 39028351 39011924 39025435 39034217 39036997 39015284 39028096 39021410 39026222 39031612 39028877 39029119 39026232 39023160 39019871 39039201 39030777 39014255 39032726 39021271 39031241 39022423 
37 39017373 38858404 39019808 39040294 39022272 39027368 39026324 39038980 39027843 39035457 39020858 39033314 39018475 39018682 39030682 39025065 39022841 39024260 39035419 39018995 39031975 39032946 39021921 39030057 39034664 39022013 39020268 39033707 39028256 39019291 39031060 39029204 
