n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
23 42948520 42727794 42921015 42942210 42926453 42925306 42926014 42927076 42925706 42937601 42936797 42924352 42917574 42926020 42927932 42924415 42925332 42916340 42913210 42936016 42923985 42933004 43174894 42953534 42962492 42952259 42966936 42935957 42943484 42945834 42941234 42959438 
24 42958078 42715684 42944718 42921034 42922495 42936194 42916648 42916963 42926829 42920619 42924721 42925660 42921088 42935074 42928787 42922894 42919955 42933608 42928651 42925762 42927785 42930660 42931209 43178159 42953532 42955071 42950239 42945532 42958867 42939813 42947345 -14243304 
25 42960048 42713136 42924391 42934268 42924187 42927583 42923178 42920879 42923659 42918621 42934462 42918626 42933004 42934521 42934213 42927572 42916171 42939368 42932787 42932379 42931028 42931608 42917402 42933485 43171498 42954818 42941266 42957011 42946565 42957271 42965158 1762661111 
26 42942593 42728956 42918374 42930911 42918143 42924794 42918745 42927182 42933228 42927486 42936528 42924474 42925631 42912624 42929128 42918342 42932878 42925277 42934752 42939519 42932741 42927593 42930010 42929503 42924678 43169932 42939531 42972145 42955215 42941306 42947852 909290378 
27 42941193 42732990 42945850 42927719 42928908 42936072 42928324 42934001 42922555 42923020 42940765 42927854 42927782 42928986 42928987 42923336 42931083 42928095 42926888 42937535 42935678 42927598 42929251 42923916 42934082 42941721 43169009 42950615 42953232 42949405 42962034 42946229 
28 42944490 42716416 42942464 42937405 42917046 42942884 42920945 42926975 42932202 42942640 42922781 42924438 42931006 42944645 42930977 42925409 42928768 42919355 42931569 42930199 42924795 42922005 42933522 42922039 42930855 42935879 42921743 43154525 42952798 42960549 42956328 42984990 
29 42937037 42739413 42956715 42929849 42934882 42931358 42919907 42924954 42935251 42933493 42918328 42923524 42929993 42942644 42931323 42919840 42907668 42923780 42934007 42931897 42935615 42923243 42922627 42938296 42921622 42924625 42931963 42920846 43159476 42958101 42954486 -12847267 
30 42939398 42731341 42932493 42936374 42927865 42933823 42934896 42922302 42925520 42942357 42922075 42925821 42928658 42929354 42928254 42924834 42935745 42926880 42925132 42929977 42928097 42928591 42932920 42925407 42924582 42921582 42929170 42931639 42913306 43152489 42954526 -13048766 
31 42957069 42703510 42944580 42921151 42928086 42934152 42932013 42914920 42938679 42933506 42936120 42918753 42942852 42925114 42938434 42915833 42933467 42931085 42931356 42927835 42946564 42926266 42936390 42928404 42937604 42935216 42941099 42926102 42935856 42925023 43175716 1768094849 
32 42936608 42722951 42918367 42932275 42924235 42929256 42941716 42924839 42930443 42932332 42930852 42923966 42928440 42930734 42936997 42919332 42941679 42929516 42935486 42935535 42936021 42940048 42934536 42919937 42930183 42932441 42931038 42938498 42919303 42937164 42918591 975713010 
33 42926884 42712683 42932561 42935292 42932449 42937632 42930938 42930754 42925570 42927161 42914932 42930719 42929792 42930616 42926610 42923874 42941963 42925313 42938194 42933387 42934499 42931820 42930539 42928703 42925478 42936271 42936007 42931916 42952824 42925109 42928696 -2104556588 
34 42937877 42719974 42928616 42926040 42927367 42926639 42925959 42926310 42928394 42923266 42937041 42926639 42926991 42935330 42934459 42925131 42942734 42938404 42929528 42922175 42927138 42928022 42936247 42930451 42942310 42930370 42940021 42926779 42920201 42940502 42934349 177145826 
35 42941770 42723147 42931257 42925586 42930363 42926667 42922364 42936095 42931499 42936931 42932311 42937526 42930998 42931581 42929494 42931836 42932416 42934581 42922013 42937589 42928733 42939517 42928110 42943634 42935400 42930139 42935361 42938755 42932937 42933841 42947108 42923638 
36 42930456 42743467 42928612 42932001 42942299 42930851 42937708 42923240 42927449 42939661 42935874 42929744 42936267 42919540 42935347 42938543 42927893 42928751 42919625 42910029 42926129 42936388 42933504 42924793 42925894 42938479 42928013 42922968 42927869 42921279 42918871 -14272141 
37 42929715 42740249 42930649 42932873 42916281 42925117 42938435 42934878 42925697 42931422 42922084 42929514 42920924 42924010 42939054 42923818 42934307 42923401 42934613 42920449 42930425 42925627 42922935 42934557 42913979 42932211 42938044 42925812 42934340 42918675 42931831 -294309521 
38 42925886 42742991 42928939 42928146 42923103 42931338 42928711 42937018 42929534 42941122 42929250 42928891 42921932 42935453 42929799 42914825 42932729 42933911 42934861 42923212 42928953 42930394 42923894 42931836 42935670 42921544 42926561 42924205 42932798 42924608 42919978 -1120631189 
39 42932757 42743177 42935705 42929530 42940142 42931380 42932424 42927968 42917733 42922158 42946512 42925873 42936614 42923694 42924025 42935537 42939373 42933755 42930800 42929360 42931171 42937364 42934548 42932293 42933710 42938936 42939483 42929097 42935451 42938483 -377550871 1764114167 
40 42930154 42730099 42925672 42920143 42939550 42935107 42936801 42924631 42939724 42921229 42943548 42926018 42930567 42941414 42920368 42924257 42939614 42925747 42915096 42923020 42928047 42924256 42927133 42935336 42921296 42936103 42929465 42933218 42932323 42928304 42921986 42935276 
41 42929241 42736885 42937386 42930654 42934134 42928503 42941704 42919750 42923447 42936842 42928996 42931635 42938364 42925982 42939738 42925393 42935623 42927699 42924839 42941276 42931219 42938111 42931914 42925705 42935864 42928282 42944217 42932412 42928751 42931746 42938900 -12991771 
42 42927421 42728993 42934769 42926592 42933874 42933620 42936177 42938732 42930128 42939058 42942001 42921338 42940659 42932013 42927481 42938991 42933908 42935403 42934029 42938196 42921648 42929122 42925890 42925903 42941169 42919038 42929408 42932559 42938205 42937936 42924524 1764054537 
43 42915863 42739408 42939128 42927848 42941529 42937370 42935311 42936504 42937269 42928751 42942088 42934310 42925809 42927854 42911549 42923215 42926698 42934103 42927499 42936175 42932996 42924852 42928963 42927871 42933799 42948204 42933161 42946873 42928555 42923864 42928885 -346678778 
44 42915729 42741089 42933013 42939023 42935325 42923296 42942849 42934287 42939751 42936926 42943363 42933174 42927721 42927655 42929583 42923346 42935090 42935615 42930668 42941963 42934632 42938070 42946132 42926103 42933168 42936351 42936738 42933467 42931807 42925227 42937250 110032070 
45 42921779 42750178 42940409 42935714 42942048 42936636 42920486 42927668 42936558 42937410 42928489 42927691 42931560 42934203 42929790 42942548 42930539 42933035 42942243 42929541 42931989 42932554 42923320 42933503 42931877 42938101 42934273 42935001 42936326 42933068 42940829 110039762 
46 42915445 42743621 42941637 42936399 42942371 42932636 42935544 42940306 42937247 42930674 42941156 42928434 42945939 42926255 42929333 42940511 42943486 42928293 42936680 42921094 42924155 42925404 42939535 42933409 42945554 42927637 42935151 42927435 42924489 42933306 42932495 110053240 
47 42916253 42737946 42952349 42941849 42932022 42938154 42938654 42920811 42939428 42934854 42939900 42929448 42938760 42923890 42941121 42928781 42933916 42941331 42940995 42941673 42938157 42942817 42956496 42934423 42938304 42929965 42934538 42937807 42933099 42934826 42955491 -344363897 
48 42925191 42742538 42942911 42930765 42931500 42932229 42930049 42935490 42937277 42924933 42930401 42928783 42939581 42933361 42937100 42922378 42931292 42949852 42939970 42937604 42941467 42935490 42935939 42943071 42936843 42942890 42927767 42935754 42944875 42940360 55513933 42928393 
49 42904694 42751531 42929698 42926686 42934837 42927153 42932531 42928671 42945536 42928421 42933417 42944560 42933797 42929579 42923175 42932238 42939586 42935795 42934271 42944221 42934732 42944314 42943839 42940971 42936527 42928968 42933023 42947745 42953417 42932713 51427945 1762623306 
50 42922799 42751980 42930815 42944705 42938162 42939560 42941489 42928086 42929272 42942171 42930743 42935530 42929292 42937825 42936705 42933556 42936345 42927135 42933981 42939869 42936977 42933972 42942559 42937273 42929671 42934081 42933692 42938455 42934405 42936561 51414472 42926731 
51 42915438 42757857 42937239 42939867 42922327 42936846 42936493 42932884 42935054 42947298 42930073 42935330 42941731 42937944 42927961 42933150 42927102 42934252 42933436 42941467 42940710 42928957 42922730 42937503 42930833 42925887 42944531 42933932 42935106 42941419 42940233 1274303994 
52 42915234 42753848 42940769 42928704 42929542 42935622 42937375 42938584 42934579 42928542 42929575 42930088 42938105 42925398 42927258 42922594 42946587 42932909 42934154 42924682 42930614 42939130 42939410 42939487 42925380 42935325 42928945 42918829 42924931 42940455 42940653 -1140459327 
53 42921862 42755443 42936726 42941226 42933579 42936736 42930976 42952376 42934293 42927856 42940645 42941870 42935623 42929411 42933076 42923693 42928753 42924561 42937141 42933396 42938583 42941086 42925071 42928084 42935444 42932502 42925851 42932571 42932589 42934252 -2096135219 -347925757 
54 42915781 42737059 42940885 42924282 42930891 42934358 42928293 42935773 42920697 42938851 42943363 42929917 42934729 42940405 42947270 42925278 42941036 42935910 42930480 42931216 42945938 42942215 42939130 42932368 42933684 42942057 42919549 42934438 42931912 42936739 -2087782684 42931717 
55 42907514 42751939 42944799 42938097 42944169 42941885 42931976 42942794 42947784 42935343 42941148 42929239 42939536 42931979 42943806 42931182 42933701 42930112 42938547 42946534 42943690 42938309 42944750 42941946 42934086 42931133 42928173 42944049 42939400 42946474 -2091800248 1769620306 
56 42924361 42750433 42947801 42932641 42933419 42926228 42940740 42932598 42940768 42939167 42928608 42932919 42946608 42929703 42939344 42925017 42938233 42929315 42937361 42926972 42937549 42923800 42934566 42937106 42942792 42924592 42943812 42945475 42937957 42931629 -2091653355 -14410667 
57 42917465 42740976 42926845 42933773 42936798 42932002 42946821 42930140 42940632 42945038 42943384 42947049 42932430 42936164 42933239 42930422 42931077 42935252 42930497 42937229 42938225 42929999 42941095 42932046 42934423 42938337 42937131 42936651 42926547 42938138 51332227 -858980800 
58 42917835 42750137 42945431 42938954 42926678 42934092 42931643 42935004 42930811 42939594 42924687 42939396 42930560 42945449 42930405 42942903 42929974 42920912 42938260 42945969 42936000 42925307 42946914 42938016 42933846 42927757 42934384 42951076 42954194 42937082 42931978 1273852629 
59 42932584 42757842 42936937 42935680 42932610 42928636 42922780 42933520 42938302 42927937 42940474 42934018 42944841 42936965 42942893 42939038 42941503 42935209 42934210 42935797 42936064 42922873 42936841 42943082 42934320 42933316 42944319 42949156 42935724 42942671 42943062 -347917938 
60 42922112 42761694 42940025 42941623 42939386 42931491 42922003 42939421 42943445 42937869 42927095 42941427 42932543 42939307 42937738 42925324 42937598 42937516 42927123 42948248 42939917 42936577 42945997 42932470 42931954 42939109 42934121 42933259 42930862 42948055 84867176 42935660 
61 42909054 42757821 42937341 42948282 42922508 42946714 42929670 42932544 42935689 42928499 42930791 42939169 42934185 42938993 42943400 42925816 42938628 42932906 42952463 42937201 42935864 42929800 42937035 42942596 42942020 42934927 42943734 42925685 42930995 42935913 82209119 1891047875 
