n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38944364 78185202 39123604 39270354 39263625 39257374 39267077 39261916 39254764 39252448 39268225 39246846 39247921 39257615 39262424 39258527 39245606 39244650 39248412 39245599 39235954 39243311 39253399 39242490 39226072 39226846 39237677 39221341 39229457 39235573 39216356 39225322 
1 39040108 38747164 39063729 39034027 39043869 39042292 39053045 39050014 39041819 39048292 39043837 39036518 39045457 39062125 39046668 39052257 39042578 39041682 39046654 39027759 39050684 39045801 39038648 39045802 39042302 39048814 39040535 39031915 39048601 39044742 39051179 39039401 
2 39078227 38556630 39035555 39187235 39032123 39029078 39043879 39044179 39030518 39038649 39046922 39041084 39048607 39028998 39037311 39030583 39049398 39048741 39039486 39031287 39039436 39035118 39051955 39043007 39043201 39046142 39050077 39034481 39041695 39046050 39042619 39051365 
3 39106754 38804042 39098323 39032298 39049365 39048861 39035585 39049314 39051317 39040016 39041243 39034289 39036821 39053830 39044095 39043590 39034600 39048811 39044495 39043056 39043036 39044657 39046514 39049335 39035787 39054686 39040907 39052390 39039527 39040232 39044401 39036342 
4 39104250 38803051 39017435 39247362 39040177 39060771 39046087 39047926 39036859 39044479 39049325 39049323 39046088 39047809 39050650 39049855 39056330 39046700 39046043 39044751 39047860 39056475 39050945 39045004 39055172 39035905 39053275 39047087 39057234 39053094 39039835 39042177 
5 39097308 38799744 39019849 39011527 39293958 39043415 39047559 39056988 39043409 39041024 39054263 39044214 39036921 39043056 39050088 39051704 39052448 39051021 39043163 39057390 39041941 39039542 39041064 39047231 39047108 39043224 39046760 39042023 39035056 39034396 39032886 39037405 
6 39083917 38805818 39026583 39030506 39023163 39308865 39039633 39041180 39053016 39032445 39041973 39035268 39040112 39035690 39042135 39050987 39040097 39054570 39042699 39032739 39045856 39035889 39044637 39044700 39045647 39043968 39046524 39041939 39048443 39045918 39035851 39050875 
7 39086423 38817872 39023224 39007265 39022298 39009222 39305572 39037550 39059069 39048616 39031201 39036570 39044043 39038929 39041073 39041077 39048765 39040443 39043165 39039280 39045323 39054372 39041709 39040465 39038372 39046973 39048933 39052339 39050127 39048369 39060412 39053352 
8 39094522 38814377 39021266 39029884 39023582 39034636 39016287 39298866 39053916 39047541 39055136 39049717 39042323 39051702 39047250 39057817 39054698 39040358 39050440 39042565 39047095 39048097 39038468 39042839 39059667 39039592 39039174 39038671 39043355 39037784 39056413 39036157 
9 39084901 38817815 39022809 39019085 39016622 39015652 39016922 39020189 39302320 39038196 39045476 39041757 39046075 39041907 39052598 39042304 39051056 39049255 39044717 39035315 39049499 39042563 39041608 39033167 39047099 39049284 39060448 39053038 39049200 39051916 39046804 39052242 
10 39074178 38818907 39020175 39029884 39039338 39022252 39020909 39021063 39031160 39280359 39029266 39053598 39043790 39050375 39041441 39049267 39041023 39042454 39046013 39027365 39048818 39043554 39050116 39052099 39042447 39030788 39034696 39052711 39050883 39040641 39050723 39039949 
11 39089353 38815066 39022154 39024210 39018563 39018275 39016296 39019816 39027414 39025955 39295424 39034006 39045614 39044497 39048502 39056046 39049975 39065343 39036290 39055574 39038662 39053764 39048394 39046084 39054905 39057873 39036732 39040224 39043586 39053503 39048047 39047197 
12 39077645 38810767 39019080 39021126 39007186 39020238 39027194 39024688 39027431 39016878 39016801 39295556 39043953 39056174 39044790 39046122 39040706 39040478 39049528 39040068 39037857 39041169 39047542 39046954 39050351 39055459 39048229 39047913 39048977 39053369 39053611 39041892 
13 39066462 38817777 39024721 39017620 39038194 39013587 39024670 39028630 39025734 39016807 39011576 39009007 39278917 39027922 39050793 39056567 39044802 39047803 39046888 39052895 39029299 39052093 39041860 39039559 39039323 39044913 39039261 39053062 39049796 39041659 39058661 39036523 
14 39073737 38813128 39021864 39013694 39021641 39021261 39019503 39042146 39008477 39025599 39019020 39020384 39027019 39283375 39036519 39049355 39048099 39044857 39047147 39061161 39054843 39054495 39043657 39046021 39051578 39045993 39039327 39055754 39044943 39052303 39050724 39032275 
15 39070654 38821512 39019361 39027520 39024275 39027739 39020638 39038146 39022975 39016386 39010689 39034320 39022817 39020051 39268022 39027184 39045236 39056025 39056295 39056719 39058762 39046070 39056397 39052575 39053535 39043735 39057346 39057855 39057387 39036741 39039949 39039261 
16 39074292 38824208 39025377 39011227 39030890 39019741 39018600 39027848 39022137 39017450 39025249 39030957 39010186 39026353 39021459 39247722 39045302 39059595 39046590 39036473 39046256 39042942 39048842 39054362 39043420 39048966 39030249 39040372 39038766 39033610 39046115 39061433 
17 39062092 38828273 39025122 39031272 39020233 39027165 39019045 39016865 39027207 39023025 39012153 39019011 39023933 39030756 39025821 39013990 39261761 39042473 39046304 39045867 39055223 39044999 39057827 39049178 39054421 39047399 39049164 39032317 39053940 39047605 39042395 39049883 
18 39054543 38827931 39032876 39009860 39028647 39026623 39020113 39029988 39015088 39018873 39023230 39015231 39013350 39020891 39023011 39017945 39017284 39281337 39030160 39065037 39057465 39048418 39046975 39052549 39049839 39054920 39046869 39042600 39046172 39048935 39038685 39052331 
19 39061364 38819638 39036537 39025919 39027498 39026320 39023459 39023024 39026291 39018826 39021233 39022306 39019655 39030064 39025138 39008507 39027473 39018511 39270021 39052003 39043019 39041135 39047851 39054413 39053445 39046070 39052953 39045677 39042895 39047012 39050365 39053951 
20 39048096 38824085 39033384 39022337 39022239 39022965 39032300 39033763 39022121 39029942 39014558 39023227 39023380 39022462 39032411 39019203 39020411 39025645 39024914 39264864 39037219 39048401 39050743 39043687 39049061 39042604 39047428 39052577 39045593 39045979 39051560 39049603 
21 39051314 38830284 39026955 39022044 39033261 39023401 39019886 39035873 39024415 39025550 39023665 39020832 39027732 39027836 39022201 39018808 39024943 39031337 39015411 39028706 39256997 39032897 39055465 39043308 39053688 39043225 39053366 39052336 39046805 39057887 39057342 39037048 
22 39050303 38831427 39038892 39027488 39019377 39025666 39016298 39016837 39018773 39018104 39037928 39013320 39024637 39027285 39030885 39015344 39021853 39018962 39025849 39022842 39027701 39262933 39043601 39053013 39049932 39046940 39044482 39050176 39052552 39053990 39050018 39047606 
23 39039768 38842171 39035151 39010736 39023488 39019079 39034569 39023802 39027996 39020357 39037239 39032048 39018671 39028271 39021049 39032661 39027458 39031810 39036694 39031072 39021952 39033588 39255666 39031035 39053228 39047187 39045694 39044206 39050184 39032696 39047356 39049691 
24 39057312 38834592 39023315 39022440 39017388 39025885 39029909 39025219 39037901 39021681 39026691 39029180 39013129 39020767 39029522 39018098 39021678 39025906 39025861 39028519 39028967 39021077 39029687 39243682 39045011 39056735 39053020 39047242 39042822 39046808 39054315 39053847 
25 39044006 38833248 39018461 39029984 39035507 39013734 39027159 39020900 39015324 39027068 39033702 39022986 39026643 39026017 39028412 39019216 39026627 39034761 39037048 39026719 39032307 39022166 39023081 39016099 39236361 39048606 39034533 39056944 39045767 39046375 39036289 39044431 
26 39041473 38843100 39028008 39027038 39012973 39021150 39030689 39021940 39012162 39025721 39032925 39023430 39020850 39028685 39025920 39012578 39018725 39020606 39032127 39023590 39025375 39036431 39031281 39028417 39023894 39245374 39029966 39054079 39049710 39051027 39037961 39048813 
27 39043074 38837493 39024597 39034582 39021634 39027428 39019056 39026054 39027396 39035926 39022913 39021085 39020407 39021432 39027838 39014081 39024004 39040336 39021830 39027721 39026245 39027383 39020721 39011474 39017118 39024321 39240097 39041471 39045643 39042420 39047008 39041717 
28 39047247 38847773 39020684 39025304 39038720 39032157 39022334 39027461 39023790 39023820 39022200 39023277 39016100 39017467 39013043 39028858 39033163 39025976 39022681 39024882 39022454 39012809 39019950 39016742 39018241 39023387 39020377 39240066 39029840 39053047 39041286 39049561 
29 39026608 38841185 39028968 39026483 39033262 39021811 39042035 39022805 39022177 39030053 39030034 39025518 39027293 39026996 39027378 39013877 39027584 39026333 39032872 39019478 39031295 39032672 39030568 39025870 39030175 39030977 39023790 39023094 39237447 39040825 39059016 39042753 
30 39038007 38842511 39027323 39035179 39025699 39017646 39032169 39030573 39033426 39017890 39022670 39029222 39031032 39031555 39033020 39028520 39018201 39024996 39023640 39029155 39021050 39023335 39027468 39033591 39035819 39033456 39024314 39022988 39015158 39242359 39037931 39053746 
31 39029783 38824365 39030255 39023799 39031138 39025823 39023970 39017085 39026777 39030715 39025275 39029724 39044789 39025789 39032911 39019873 39023916 39032130 39028376 39017711 39038289 39026012 39028125 39030135 39029588 39022680 39023764 39025318 39035627 39023242 39247985 39051925 
32 39046559 38837909 39034350 39028002 39009510 39023990 39032914 39017689 39016832 39031245 39026727 39022023 39034491 39028673 39032596 39014907 39038528 39024676 39025936 39019814 39027874 39028044 39024808 39030988 39015811 39031830 39021608 39022036 39018440 39023280 39026148 39215825 
33 39017361 38856120 39030175 39036430 39027140 39025893 39020414 39027180 39026948 39025462 39030408 39034923 39038880 39003424 39031600 39019429 39034800 39027273 39021995 39029638 39024763 39031242 39037852 39028926 39017273 39024335 39022788 39034734 39041159 39035429 39039675 39022849 
34 39038332 38851134 39023863 39031736 39033393 39023635 39026406 39029350 39034389 39028721 39028617 39025987 39029949 39032153 39026100 39022438 39020756 39023771 39032187 39018961 39028349 39026207 39027882 39030764 39033194 39032610 39033756 39017087 39020394 39033948 39030434 39020662 
35 39033604 38836500 39025512 39027964 39013180 39027280 39033294 39025580 39021965 39032474 39030984 39023997 39039214 39035497 39032573 39021622 39035429 39037150 39025644 39031106 39027372 39025084 39030584 39028638 39025958 39035783 39029206 39031970 39020695 39027457 39047994 39025529 
36 39037013 38850314 39031724 39034740 39033295 39023072 39034131 39025320 39022013 39031930 39031502 39033893 39045552 39037599 39031287 39021937 39022735 39034726 39028372 39017411 39033693 39028504 39025533 39028702 39036875 39037859 39034366 39020410 39024354 39031106 39021880 39027086 
37 39028579 38847389 39024718 39036424 39025468 39031549 39033070 39023316 39026356 39022102 39024166 39039576 39021964 39033837 39028948 39022341 39030618 39023069 39025394 39040313 39027991 39023887 39023597 39027605 39028872 39030933 39036372 39022208 39026860 39026890 39037166 39020547 
38 39018900 38850639 39027183 39043211 39021504 39033249 39018704 39024493 39016627 39034513 39031643 39022133 39032304 39015008 39028620 39030515 39039192 39024585 39027018 39027605 39028163 39020748 39030884 39037756 39042783 39025320 39031323 39032573 39032087 39026358 39021138 39014543 
39 39022373 38849069 39039983 39024329 39029092 39027878 39040141 39026339 39024014 39027891 39039539 39023233 39038748 39027442 39037862 39018077 39035058 39037625 39019569 39032020 39026645 39032984 39010920 39034457 39027830 39028324 39031067 39033371 39025181 39027964 39038564 39027005 
40 39019279 38839413 39025170 39033371 39037004 39034934 39028302 39029378 39021655 39022508 39028548 39025539 39031736 39033447 39038696 39024085 39029216 39032789 39033051 39023666 39031562 39032412 39027602 39026969 39017635 39029423 39026904 39024413 39026749 39036406 39017543 39029175 
41 39023753 38842862 39029031 39021012 39014382 39026923 39030137 39030525 39019959 39027910 39032150 39036614 39032698 39026325 39025364 39018805 39025091 39034255 39035736 39032467 39031136 39026141 39032992 39021960 39032693 39022357 39032008 39024139 39025981 39032234 39042464 39034253 
