n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38944248 78188421 39120695 39264597 39274090 39263625 39258904 39261866 39248795 39259008 39243092 39250074 39249156 39246125 39252818 39248532 39247434 39243834 39247008 39243298 39240324 39241097 39246910 39229593 39232283 39250268 39235288 39233131 39234391 39235030 39218829 39226733 
1 39049247 38759589 39063452 39043547 39035354 39044381 39044474 39043450 39028666 39050306 39059502 39049787 39032118 39045335 39043998 39049875 39050707 39045474 39039588 39046351 39037786 39041824 39043170 39043313 39045031 39041517 39035780 39035778 39046162 39046249 39045091 39035191 
2 39073423 38547530 39028536 39189079 39045196 39048075 39043559 39040462 39039834 39053110 39052373 39036493 39047253 39051139 39052554 39040099 39050050 39046567 39040916 39038480 39036827 39050889 39051572 39044400 39028956 39044083 39044710 39035438 39047443 39038522 39046704 39031960 
3 39102793 38806413 39111603 39040428 39047107 39047486 39043586 39051041 39042600 39050917 39039929 39051710 39045248 39035717 39041854 39048441 39047068 39045121 39046254 39040944 39056910 39036938 39046754 39044953 39047633 39049684 39042842 39035127 39045242 39051461 39040984 39047211 
4 39108983 38798233 39011981 39251730 39044213 39050798 39062732 39045340 39045368 39052720 39061759 39047510 39049061 39036066 39038396 39042416 39045030 39045912 39042513 39053396 39041772 39040373 39036916 39052365 39047855 39055081 39046207 39054165 39046471 39044281 39042536 39039018 
5 39112958 38798382 39036672 39011292 39302777 39030643 39048199 39041727 39052384 39038413 39051475 39049539 39042378 39045328 39036072 39041919 39053820 39040501 39045508 39038101 39039184 39050958 39048348 39042976 39043509 39037985 39040823 39049209 39037681 39056802 39052744 39053501 
6 39097620 38809002 39035939 39015336 39015733 39300325 39034941 39048903 39041248 39048161 39050220 39040045 39046256 39045227 39040155 39044167 39057360 39052901 39042751 39049706 39043478 39041888 39058578 39031561 39050811 39052107 39042229 39045943 39048492 39042253 39047649 39048078 
7 39086758 38808317 39021548 39009718 39022295 39014469 39300525 39038832 39060881 39046803 39026894 39040002 39040322 39044700 39055538 39043476 39041191 39036830 39060122 39054400 39034022 39063575 39041394 39040192 39050045 39043080 39046989 39036188 39046836 39050532 39045630 39043136 
8 39098533 38824865 39020618 39007356 39025171 39014164 39018639 39304303 39039750 39043951 39044504 39034000 39042053 39046681 39047077 39055301 39051950 39043040 39051490 39037265 39043725 39062671 39054742 39040876 39048513 39045827 39052582 39043972 39039893 39046153 39048356 39035351 
9 39082264 38805717 39022230 39019941 39028212 39032809 39013128 39022209 39302745 39028199 39052512 39041060 39048864 39051883 39063804 39050940 39044665 39053976 39052016 39048199 39046809 39038959 39040286 39047112 39036139 39056022 39045702 39044067 39043471 39051198 39047833 39050208 
10 39067136 38810447 39020137 39018717 39029510 39022488 39029161 39032187 39007778 39294766 39035464 39043897 39046143 39038127 39044053 39037877 39052209 39049936 39044748 39047396 39048839 39039989 39054880 39043842 39051040 39040265 39051475 39052268 39049892 39043740 39051349 39045042 
11 39076139 38815542 39025219 39028193 39021961 39020460 39008355 39026836 39042143 39022986 39287083 39038678 39055075 39055851 39049718 39045482 39045496 39043331 39036191 39033151 39047937 39034405 39035638 39048464 39052832 39051194 39042851 39039898 39052217 39028837 39059405 39043926 
12 39076574 38814058 39025570 39021592 39026713 39032764 39015312 39021289 39027349 39022534 39030430 39277438 39039021 39056836 39042703 39037293 39041375 39058133 39056354 39054582 39045919 39044081 39045392 39054125 39043455 39048115 39052565 39049776 39048353 39047139 39046233 39048354 
13 39071847 38817805 39026790 39031111 39025873 39022951 39022983 39023724 39016579 39033717 39018948 39011093 39282624 39035703 39059329 39045432 39038413 39049353 39039400 39048741 39048279 39046520 39044766 39038622 39046021 39038415 39043542 39051296 39049843 39036614 39047601 39036913 
14 39068524 38813108 39021686 39012702 39012130 39025565 39019006 39018443 39023710 39022235 39025196 39007926 39017462 39279592 39036495 39042741 39046680 39057479 39055825 39041830 39054479 39051680 39056027 39044158 39044426 39039717 39041903 39038559 39031556 39044474 39056439 39055722 
15 39070799 38818157 39015249 39035229 39026495 39009861 39015716 39016610 39013176 39021103 39015446 39022374 39021974 39009041 39270407 39040331 39043923 39059308 39050237 39050273 39040259 39043556 39049603 39035373 39045978 39049234 39052514 39053567 39043120 39034324 39041799 39051739 
16 39070360 38816684 39030038 39033780 39031025 39036782 39019740 39021363 39030002 39017784 39020425 39029906 39021090 39023950 39024387 39249362 39037860 39046546 39051639 39046590 39056517 39042586 39045452 39042655 39051748 39042412 39050767 39041040 39039048 39033546 39041311 39056783 
17 39060315 38830811 39025764 39031631 39026590 39022428 39026447 39017080 39031008 39018062 39029706 39018594 39028763 39027485 39033708 39023081 39256293 39044846 39044370 39045436 39049242 39041531 39045690 39041773 39044157 39045633 39046008 39045936 39051568 39041512 39052042 39044667 
18 39072323 38817386 39018964 39016376 39025900 39018556 39017593 39017938 39025984 39015807 39024053 39028519 39023108 39019221 39025265 39014238 39031623 39268568 39048221 39043868 39050000 39051784 39050639 39051745 39037757 39066071 39045631 39050851 39041667 39054215 39050208 39039315 
19 39061131 38826407 39018561 39014862 39034604 39032754 39022665 39026960 39020487 39029119 39024206 39017059 39035254 39022357 39030639 38998418 39019995 39022915 39262815 39032256 39040766 39042345 39050139 39047715 39044286 39052271 39044699 39053710 39046859 39046376 39050824 39049362 
20 39049499 38828691 39021125 39024987 39022949 39021174 39015424 39027652 39019659 39030285 39016091 39017016 39030623 39025799 39023782 39022193 39028908 39022863 39018644 39263972 39039837 39048982 39046344 39050423 39035139 39044301 39036862 39040114 39047022 39040157 39039568 39044624 
21 39047152 38832315 39021218 39015424 39016088 39017189 39023370 39031638 39028786 39035583 39031799 39027213 39017878 39024528 39019798 39016952 39017469 39035771 39025517 39019434 39261045 39032393 39043368 39053030 39039528 39047914 39045976 39045280 39054601 39053974 39050865 39046194 
22 39054553 38823447 39033799 39025358 39021493 39020210 39021793 39027316 39017872 39020845 39021399 39028855 39023371 39028083 39018047 39006178 39023924 39018513 39017823 39024511 39032278 39261339 39050493 39063136 39047328 39041917 39045462 39042567 39052852 39039814 39045740 39049270 
23 39047788 38842235 39021911 39029326 39015245 39018654 39028393 39020435 39030052 39025507 39021499 39023425 39029955 39019657 39017608 39013042 39023282 39027112 39021574 39034813 39021936 39032575 39251845 39039116 39047462 39048566 39053385 39041481 39059384 39043372 39047280 39047614 
24 39041385 38833345 39033060 39015352 39019400 39031297 39032531 39008512 39031435 39020798 39013937 39018275 39030797 39016431 39022589 39016384 39030455 39023132 39032266 39022515 39027701 39028833 39029646 39244655 39050755 39047970 39057874 39046407 39053031 39045846 39052070 39051037 
25 39040058 38839405 39023418 39036366 39029025 39023204 39028056 39021635 39026491 39015283 39020776 39012578 39017821 39025231 39023920 39028512 39027826 39027008 39013363 39019863 39021011 39040712 39022716 39029881 39248990 39047666 39053234 39059655 39044632 39051597 39039383 39051478 
