n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
23 429466397 427218873 429288519 429291222 429286191 429245566 429241939 429299297 429272972 429282349 429286294 429272925 429221610 429267378 429291596 429229640 429294734 429250858 429298779 429309401 429270703 429315748 431758978 429456535 429579307 429540088 429552127 429485102 429505480 429458045 429520300 429535993 
24 429521130 427190224 429359533 429215222 429254938 429317360 429245392 429194257 429330262 429293066 429259144 429270863 429287259 429278615 429257630 429210112 429256260 429262690 429281328 429241643 429272772 429308795 429330589 431699864 429505608 429581778 429494774 429497242 429544150 429513285 429501351 429550215 
25 429532303 427194880 429253604 429321352 429292730 429262046 429259144 429256924 429249904 429256652 429266621 429176234 429263422 429268596 429256731 429239546 429238202 429334410 429264755 429293482 429310430 429303246 429274173 429291580 431711249 429492417 429493969 429543369 429514983 429535698 429574793 429532821 
26 429452409 427257259 429306061 429264377 429215653 429203659 429212169 429267558 429280440 429260436 429290167 429287780 429231761 429220490 429272908 429233350 429304305 429291618 429307101 429283538 429321669 429296324 429302422 429274068 429276338 431664176 429437019 429590318 429517568 429526817 429507537 429573929 
27 429434410 427225804 429363190 429298256 429338517 429309441 429239743 429293677 429257520 429329827 429328513 429263290 429261815 429333260 429311522 429244076 429302627 429307250 429232723 429325055 429280907 429321686 429316739 429235629 429272699 429318221 431637810 429486379 429543136 429549676 429555074 429526339 
28 429422329 427152256 429316721 429325074 429278935 429302662 429251540 429277020 429250290 429293739 429269582 429247275 429267334 429323636 429288216 429230132 429288700 429246230 429249972 429293496 429259117 429228462 429283987 429281891 429295318 429315283 429289022 431602765 429466627 429583145 429534135 429543435 
29 429355286 427300479 429395284 429306290 429303381 429290411 429288113 429255121 429355760 429308023 429285833 429279305 429328542 429315680 429301571 429241448 429229480 429289546 429268791 429349880 429309239 429257451 429272138 429320626 429294200 429282513 429310884 429302904 431562507 429504720 429547025 429540999 
30 429425169 427278183 429291026 429307174 429278697 429264317 429338966 429263668 429273622 429322691 429299335 429237367 429301385 429281169 429289900 429192392 429277626 429269032 429285083 429275657 429296740 429299278 429301358 429254239 429290182 429295338 429270160 429326857 429258305 431554019 429536949 429565290 
31 429444931 427094411 429363336 429235833 429333533 429285519 429335980 429226863 429379736 429294239 429296795 429274276 429377743 429316225 429301159 429160354 429336050 429268121 429346167 429280369 429353435 429269567 429362686 429308964 429317452 429293269 429327273 429301076 429345358 429349318 431678832 429429128 
32 429428244 427233316 429283060 429286370 429259321 429272236 429340989 429217344 429290158 429269050 429251100 429277038 429285067 429293694 429325720 429162598 429387813 429238664 429312706 429312529 429312898 429336900 429311478 429286651 429216239 429297929 429279738 429289515 429256759 429333274 429267291 431359791 
33 429282721 427330478 429335246 429334153 429274314 429302353 429312819 429307100 429293810 429288575 429251429 429320409 429318744 429256162 429271235 429255255 429348743 429271483 429310837 429333095 429300060 429319790 429322255 429260017 429246963 429349585 429321577 429279521 429455971 429339430 429356581 429199715 
34 429343376 427262137 429286637 429260468 429353335 429256654 429299862 429272579 429319504 429214413 429320524 429297112 429277418 429324247 429331783 429286787 429347955 429334157 429280010 429255978 429292276 429329380 429320906 429332429 429339301 429316655 429341301 429264709 429268934 429330944 429273468 429267306 
35 429405139 427282418 429305409 429274464 429297232 429310147 429248975 429341404 429281044 429285653 429285664 429291161 429325443 429338759 429305347 429277877 429338142 429330438 429262827 429355397 429302807 429329295 429324331 429383827 429318829 429329037 429360680 429351780 429283808 429361303 429420551 429231888 
36 429345981 427357577 429300003 429245242 429330024 429325627 429356516 429295410 429301772 429373267 429325811 429255430 429397007 429303089 429387761 429261385 429268181 429309787 429282460 429261276 429308289 429314583 429301396 429260148 429295117 429357079 429323291 429257275 429300839 429263586 429259051 429285491 
37 429275036 427368294 429318348 429359529 429235939 429279677 429300244 429291102 429332089 429328629 429290338 429315973 429278160 429282596 429344353 429261714 429321339 429283231 429328961 429264460 429324801 429297395 429275770 429324398 429297698 429301784 429306724 429314192 429300731 429265896 429383539 429251352 
38 429270977 427447547 429332322 429299690 429304353 429310266 429264780 429332720 429270044 429302691 429324990 429315868 429277913 429308983 429298840 429260441 429345178 429333938 429326883 429269432 429339210 429330496 429316597 429361730 429363164 429308328 429323714 429280552 429324017 429307705 429266626 429258086 
