n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38945046 78186601 39125699 39264619 39263978 39241359 39261442 39262132 39263192 39249894 39258394 39242157 39254509 39260001 39251763 39259897 39237661 39243841 39245189 39246641 39239276 39241458 39241860 39236471 39225940 39225836 39231114 39231477 39237740 39240875 39231242 39222378 
1 39037224 38754766 39064396 39036761 39038110 39038564 39040784 39051011 39044352 39046657 39051353 39043128 39047052 39053131 39049502 39043627 39048916 39040946 39051801 39037655 39050624 39039851 39035011 39045952 39033452 39036078 39048517 39024174 39050821 39047938 39043530 39039573 
2 39071452 38556347 39025671 39190895 39033624 39030690 39041326 39045872 39034291 39039660 39048908 39044936 39046096 39041995 39040162 39041735 39047825 39051083 39041428 39038392 39036545 39033149 39055439 39044694 39044647 39050028 39041857 39039886 39042387 39044786 39038039 39046281 
3 39114903 38808926 39094432 39031060 39048701 39051630 39041493 39057044 39036523 39032365 39038276 39037327 39044513 39047426 39051930 39044533 39034039 39048185 39037764 39042889 39044621 39045764 39041384 39045439 39048179 39044453 39040004 39045143 39052992 39038576 39035777 39037284 
4 39099787 38796784 39020491 39249174 39037358 39057421 39045995 39035097 39046525 39043929 39051246 39051323 39040393 39045899 39063567 39049356 39061312 39045903 39049631 39058932 39056697 39065234 39050059 39046626 39053874 39036672 39052026 39046757 39048024 39044631 39041567 39035740 
5 39097209 38802160 39025830 39013087 39298921 39045955 39049946 39052350 39051892 39039845 39054436 39046802 39038140 39046634 39053329 39042247 39050403 39056780 39047890 39054649 39041152 39043973 39040846 39046432 39035863 39047739 39042604 39039428 39028149 39028993 39036442 39034400 
6 39093918 38799423 39025995 39022194 39027175 39307979 39041783 39041709 39059603 39043617 39049596 39037378 39039750 39036330 39044120 39042320 39044832 39053841 39050594 39035175 39045274 39043172 39032452 39043246 39052120 39047959 39047414 39048735 39060914 39049546 39044779 39036834 
7 39092117 38814358 39027264 39011964 39018487 39017145 39314920 39048680 39055868 39035703 39029023 39043661 39048495 39039247 39052044 39036613 39054151 39045711 39042942 39032272 39044231 39049095 39049400 39038153 39038754 39064483 39053650 39045724 39042759 39042264 39046267 39052752 
8 39098627 38806127 39027874 39015919 39019492 39029577 39022327 39300313 39035313 39052770 39053392 39043254 39048771 39044298 39039755 39061606 39056526 39051826 39055483 39050184 39044335 39043987 39040079 39050551 39056298 39046469 39033680 39047539 39046432 39035312 39037988 39036436 
9 39090554 38811587 39017167 39021296 39019552 39014462 39015926 39028334 39304474 39042182 39045398 39048463 39035610 39033476 39048086 39046974 39040558 39050191 39042609 39045748 39039512 39037303 39036807 39040188 39047169 39046657 39053666 39049402 39046149 39055642 39049504 39056217 
10 39081308 38818587 39021933 39014311 39024545 39019557 39026370 39017807 39026228 39288507 39039952 39051581 39038763 39048763 39042767 39045698 39050024 39034984 39048360 39025881 39051292 39044686 39037254 39045735 39047903 39043142 39042205 39054529 39043586 39049680 39047969 39040361 
11 39082168 38821095 39019742 39021386 39025835 39023320 39021631 39033051 39021708 39014830 39291753 39038861 39051756 39045561 39044983 39044249 39048763 39044425 39041043 39064805 39048852 39050942 39050500 39037423 39048598 39047252 39044411 39040940 39046521 39047201 39051330 39053644 
12 39074466 38808105 39019112 39015774 39027397 39023258 39031672 39025417 39029439 39014696 39020252 39297897 39037525 39056741 39046199 39046531 39042606 39039420 39047354 39050689 39041135 39042981 39049262 39049372 39038181 39043319 39052410 39044124 39044042 39052172 39055826 39035350 
13 39067133 38817530 39021839 39029763 39022196 39009768 39021331 39025361 39025177 39017241 39011448 39012401 39273562 39039149 39048702 39049362 39042713 39048810 39045206 39051262 39040646 39052151 39045699 39050703 39048115 39042106 39039277 39053128 39036523 39035802 39054233 39042844 
14 39070247 38819604 39015074 39013233 39014575 39015430 39023622 39038562 39012622 39021168 39033286 39014969 39023662 39279673 39028336 39049452 39051052 39049135 39042630 39045435 39052746 39048945 39047215 39040723 39046233 39050383 39048185 39044872 39053560 39050831 39038369 39041682 
15 39075853 38818110 39022264 39027415 39031726 39015962 39015709 39029279 39026705 39022113 39013070 39028073 39018591 39016835 39279057 39023767 39041682 39065319 39062387 39045115 39055273 39038034 39060437 39050951 39047985 39042652 39060934 39054938 39051768 39042072 39047047 39035798 
16 39079283 38828503 39022561 39024195 39031116 39028659 39024259 39026352 39014087 39014616 39018058 39032803 39007112 39023040 39021858 39244550 39047953 39053246 39041576 39045085 39036454 39042200 39052383 39052708 39047863 39053998 39045851 39036631 39039234 39033130 39041798 39063731 
17 39065617 38830462 39030986 39030727 39022497 39020081 39015472 39023213 39023752 39027042 39032087 39019546 39022761 39031616 39023483 39010190 39263363 39032490 39046377 39039465 39050694 39041378 39048208 39052574 39067152 39043561 39044407 39037000 39053326 39056949 39052755 39050300 
18 39047629 38823120 39017900 39021304 39020777 39025357 39013039 39029436 39015937 39004525 39031246 39018739 39024197 39026282 39035097 39015784 39020718 39279243 39036010 39053921 39057689 39051746 39055911 39041501 39054642 39046692 39044004 39057073 39048320 39052363 39037759 39045123 
19 39064423 38823181 39031530 39017984 39028319 39024254 39023454 39021223 39023174 39026723 39025325 39020253 39028729 39031590 39028766 39014935 39026850 39020410 39263018 39045703 39049592 39044662 39054961 39053405 39041215 39049707 39053889 39044467 39038696 39040646 39044697 39047635 
20 39051508 38816804 39025670 39026627 39024620 39026951 39024564 39035323 39028780 39019297 39023330 39026709 39032655 39029068 39018845 39017884 39024416 39026113 39021150 39264623 39039634 39035926 39046557 39046349 39048475 39046128 39049683 39057102 39043191 39051907 39049387 39045233 
21 39054647 38831144 39024241 39028646 39027732 39025297 39025045 39027163 39025086 39031001 39017710 39013311 39031435 39034907 39015362 39016324 39027533 39023125 39019050 39027652 39261927 39040421 39050408 39052064 39047851 39045898 39049628 39048291 39043023 39065718 39057679 39038972 
22 39041345 38826581 39027991 39020826 39021255 39024098 39025964 39017561 39017729 39024575 39031729 39015634 39021124 39023638 39026310 39021919 39028041 39031975 39017288 39031995 39028561 39265127 39052629 39054372 39056391 39048011 39046046 39043987 39049306 39047257 39050088 39048692 
23 39038617 38844557 39035039 39020989 39022583 39032835 39020495 39027580 39018584 39021528 39025899 39031339 39024670 39021676 39025975 39027695 39020042 39024692 39043322 39026176 39025285 39027805 39240638 39042077 39049146 39052051 39052598 39042233 39037010 39037943 39046681 39052554 
24 39049682 38834883 39028527 39019102 39020376 39032558 39031366 39020080 39032647 39024759 39032065 39032905 39037081 39028922 39022334 39014871 39020556 39025372 39020224 39027071 39036937 39028322 39028540 39240650 39041473 39051183 39053674 39043700 39042666 39040763 39047918 39053961 
25 39056498 38832633 39024983 39029818 39029063 39025480 39035769 39016875 39018090 39032674 39027237 39015286 39030621 39020054 39022483 39022580 39017959 39039932 39022160 39041129 39028132 39028416 39018900 39026639 39245394 39046840 39033278 39054661 39042165 39051019 39051759 39043150 
26 39040072 38847093 39031038 39024127 39016971 39009415 39018062 39024770 39002007 39021923 39035934 39034756 39017015 39016342 39020889 39015044 39030246 39019560 39028078 39028723 39018022 39018550 39031354 39022353 39024528 39245265 39031435 39053423 39048876 39047079 39046128 39040136 
27 39042102 38837251 39034560 39028072 39032894 39013749 39022951 39025978 39013822 39034854 39028357 39026791 39013212 39028771 39032544 39024814 39020393 39034693 39022769 39027109 39021721 39030011 39021456 39018212 39018934 39030728 39244740 39044579 39054230 39049814 39046027 39047506 
28 39047228 38839838 39022652 39034408 39028868 39026510 39027476 39020722 39027393 39031793 39021760 39025531 39025155 39025433 39019771 39024969 39027834 39027264 39025233 39016925 39030137 39026834 39026619 39010675 39028708 39024374 39025997 39238451 39038341 39053674 39045269 39045122 
29 39025823 38841673 39031866 39023693 39029768 39018070 39042823 39025424 39028544 39018586 39036175 39029532 39028998 39026624 39027052 39022355 39019753 39026846 39024454 39035293 39019374 39034635 39032307 39032189 39026722 39031589 39027118 39029142 39229928 39046046 39061876 39034899 
30 39039312 38844905 39013399 39033957 39029511 39024434 39024101 39025772 39027601 39023195 39031445 39027068 39031567 39027175 39034309 39025689 39019378 39026656 39023827 39019999 39022912 39025181 39025112 39023955 39038297 39022573 39021170 39018109 39025169 39233479 39045828 39062603 
31 39030168 38822698 39031330 39012095 39027279 39024109 39027272 39026176 39034542 39030262 39030750 39023273 39037495 39029758 39034964 39013938 39027036 39020214 39032792 39029999 39041050 39024711 39033326 39030231 39024577 39029622 39019688 39032488 39039528 39033290 39258296 39051901 
32 39044130 38835812 39025456 39023197 39014172 39026438 39033638 39018719 39008590 39023404 39013828 39026083 39025869 39031040 39025502 39015312 39036664 39023272 39037150 39028272 39024152 39023649 39026911 39033974 39018454 39025325 39027509 39023637 39022765 39029268 39030836 39221920 
33 39020753 38849983 39027396 39031452 39027892 39037301 39025460 39026007 39029774 39031495 39020256 39030870 39035714 39013569 39027882 39025260 39038099 39027025 39028912 39024340 39025125 39026661 39038548 39024021 39020669 39023882 39024409 39029802 39044105 39031152 39027258 39011095 
34 39041224 38851756 39026460 39027748 39039319 39024147 39032829 39020194 39041057 39027503 39026601 39023217 39026106 39034766 39038421 39021905 39022185 39023613 39021999 39015082 39029985 39026993 39022903 39032927 39044603 39030632 39032223 39020247 39012277 39031239 39025912 39020790 
35 39028572 38848106 39025951 39028595 39015196 39029158 39030251 39024127 39015032 39027014 39023924 39026374 39021282 39042665 39020795 39029146 39032732 39044808 39024860 39035737 39022795 39023314 39033954 39035150 39035697 39040194 39027065 39029237 39019522 39039303 39037761 39013571 
36 39032646 38845151 39024516 39019521 39032534 39026990 39031206 39024649 39019421 39042038 39019497 39039895 39036355 39027737 39035505 39029528 39019659 39033665 39028857 39020964 39030239 39031624 39031964 39024850 39032230 39040424 39024836 39019810 39016903 39031246 39019516 39015782 
37 39031379 38846919 39034798 39028430 39021987 39019012 39019414 39027685 39031745 39028480 39030829 39019454 39027151 39031913 39020528 39027206 39030985 39026863 39026553 39027003 39034250 39028543 39023004 39028432 39021147 39032289 39023175 39025535 39029403 39024011 39041136 39019720 
38 39015324 38859948 39032831 39027805 39028730 39024631 39026498 39029963 39023169 39031760 39036147 39025637 39036358 39022288 39025168 39037546 39036928 39030046 39033803 39019607 39034332 39023097 39019813 39037371 39042167 39023157 39033580 39027745 39031604 39030480 39027727 39024042 
39 39012634 38844352 39035773 39026461 39038447 39023911 39041085 39027788 39026171 39028575 39028013 39020099 39039677 39025582 39030847 39016566 39036297 39036702 39019761 39028366 39024184 39034729 39014952 39031838 39016848 39023307 39031301 39023432 39029852 39025061 39043019 39026449 
40 39019008 38840977 39024656 39032593 39029280 39040821 39033245 39030249 39029633 39024137 39040424 39030271 39031477 39036058 39034544 39019314 39025016 39023197 39036096 39020180 39028089 39034977 39019616 39023671 39016653 39033757 39018517 39018876 39024939 39024234 39020887 39037625 
41 39020189 38850671 39038173 39036205 39020983 39032413 39027590 39024336 39025680 39037732 39031032 39033542 39042944 39021954 39021050 39010381 39035797 39027448 39029793 39035612 39016667 39031413 39028478 39020274 39038598 39014108 39039710 39024621 39032442 39020025 39039834 39030488 
42 39034630 38841429 39031355 39032045 39035852 39023495 39032943 39031776 39032049 39028178 39034484 39021501 39037068 39032643 39024180 39007895 39030952 39031807 39018115 39023205 39022468 39035251 39021427 39021080 39029626 39023908 39031236 39038405 39032930 39037557 39010096 39035957 
