n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
23 39043834 38834989 39021692 39030440 39025471 39017206 39021908 39023815 39019306 39027142 39030963 39029646 39011975 39034608 39035880 39026703 39032294 39025804 39026616 39022369 39022586 39026122 39255621 39037433 39042827 39052440 39046844 39054206 39038351 39051509 39050001 39049219 
24 39049521 38846023 39037673 39021600 39026227 39024028 39024691 39018926 39019172 39025900 39019419 39028039 39029978 39025707 39024228 39020751 39021142 39014431 39024420 39026863 39020604 39024924 39027088 39244269 39039945 39060451 39043924 39047185 39042360 39041219 39038191 39050728 
25 39050933 38836699 39019606 39026219 39016831 39020991 39018914 39025585 39030533 39021982 39026706 39021147 39023757 39032967 39019406 39010552 39025088 39039061 39022631 39027334 39034152 39024009 39026554 39028426 39235453 39036326 39052531 39049952 39042834 39051250 39058096 39046940 
26 39036583 38835972 39029137 39025392 39014542 39021897 39018731 39019857 39042468 39023796 39018150 39023411 39020439 39016150 39025558 39017409 39029408 39030617 39022966 39035372 39037189 39025755 39020136 39024045 39021434 39240819 39038453 39051479 39041005 39048129 39047227 39063750 
27 39041549 38842321 39031850 39026464 39032504 39035315 39014528 39018869 39026203 39026646 39021035 39025284 39033689 39029095 39029781 39020893 39027965 39014047 39013529 39016047 39028827 39030297 39041699 39018298 39034503 39029789 39237780 39040734 39053344 39049633 39060652 39040567 
28 39040113 38831680 39036627 39030766 39029574 39034147 39030050 39022488 39027920 39020511 39029865 39021731 39030107 39025551 39034771 39024565 39025446 39015441 39018429 39029357 39032641 39031735 39023574 39020259 39024513 39029269 39029553 39234182 39041837 39058062 39051191 39043545 
29 39041280 38856057 39028298 39035052 39023130 39023515 39025975 39022708 39033105 39027490 39021612 39031644 39033694 39028773 39038928 39016947 39018620 39029222 39019522 39025388 39016956 39018051 39023091 39031761 39030864 39016177 39017975 39026852 39233752 39048186 39040354 39058408 
30 39033351 38844562 39032289 39029943 39023092 39031825 39037270 39018915 39016883 39026499 39030688 39020308 39024682 39032130 39021507 39006055 39028896 39019670 39021287 39028303 39035975 39023232 39025798 39023718 39029840 39021070 39022157 39038845 39025142 39230264 39060613 39049652 
31 39038030 38825908 39043098 39022417 39030292 39014979 39035892 39016815 39038869 39025708 39033982 39015886 39028921 39029159 39029268 39021465 39034179 39026396 39033181 39023422 39024826 39036598 39035382 39029779 39040999 39027500 39021245 39022161 39025461 39044973 39246640 39037019 
32 39049703 38828592 39023302 39032683 39023978 39019367 39027485 39029479 39030366 39029948 39023611 39028238 39022791 39026163 39032756 39016244 39034107 39028715 39026940 39028873 39029362 39031510 39017008 39017990 39020171 39030580 39025062 39026130 39026740 39041537 39017328 39212242 
33 39029837 38845195 39028530 39027279 39022549 39021417 39021146 39026382 39029091 39026256 39015354 39033908 39025710 39025828 39027348 39015423 39020406 39031957 39026674 39030344 39024284 39039229 39030548 39021256 39025160 39038184 39027101 39030031 39031559 39035019 39031754 39026348 
34 39041633 38842235 39020446 39023021 39035800 39022175 39034270 39025405 39025126 39018696 39022632 39033515 39025711 39034637 39020638 39031380 39036101 39037761 39020436 39019121 39026361 39029279 39030616 39030811 39029616 39026736 39041328 39029003 39018680 39039834 39025864 39033017 
35 39035985 38839466 39027032 39020340 39030950 39026355 39018596 39033287 39036736 39030293 39020296 39041033 39034499 39023440 39029208 39022014 39021389 39019630 39024734 39032326 39040794 39032867 39029855 39035443 39029333 39028052 39035174 39034972 39030094 39035922 39021035 39017609 
36 39028313 38857846 39029338 39018111 39028299 39025854 39022005 39031667 39025378 39038551 39024727 39013776 39039266 39015321 39024039 39032527 39019502 39021590 39033779 39029033 39020264 39040792 39031891 39019306 39033851 39031250 39027202 39030631 39032780 39016070 39015319 39032329 
37 39026340 38846317 39029227 39031296 39022748 39031098 39024754 39021586 39028000 39032046 39027797 39023550 39034424 39026403 39032294 39023030 39030147 39029454 39031192 39014998 39031127 39025403 39021337 39025181 39032009 39022078 39023732 39030282 39021257 39020169 39039117 39023499 
38 39024831 38864690 39030000 39039205 39030932 39017613 39019109 39030931 39022114 39035497 39022683 39032979 39021711 39026881 39025968 39019213 39032002 39033783 39031581 39028310 39031909 39034986 39027895 39029003 39023765 39018863 39025623 39025712 39020651 39036959 39027199 39026441 
39 39023795 38863051 39043282 39033741 39042689 39026755 39022263 39025799 39027851 39023957 39035540 39029836 39022008 39023088 39034701 39045217 39029963 39032290 39035951 39028383 39028021 39040901 39040803 39028465 39030110 39031574 39039616 39015944 39041072 39029985 39046461 39025146 
40 39013751 38851324 39026246 39034861 39029169 39034008 39029181 39023168 39028123 39008125 39031065 39029335 39017015 39029485 39019786 39027308 39034490 39031457 39024661 39030841 39032852 39015481 39026081 39022827 39029327 39026551 39018399 39025429 39032260 39033736 39020039 39025357 
