n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38940876 78180776 39110785 39260054 39268206 39264427 39260336 39265175 39261298 39265315 39260618 39251555 39244297 39245062 39245531 39247413 39254751 39241208 39239611 39256026 39259016 39241297 39238296 39229498 39241990 39236032 39239928 39239394 39226815 39235384 39219366 39228367 
1 39042380 38757341 39050077 39034583 39042955 39035908 39041609 39047467 39027053 39029866 39037191 39036513 39035875 39035382 39035198 39043250 39050266 39042496 39037200 39042178 39044765 39054403 39042142 39044635 39031432 39048837 39053258 39041528 39048019 39043435 39045235 39051114 
2 39063991 38556309 39030318 39190143 39037199 39036309 39045820 39049776 39041776 39041828 39050210 39038371 39044327 39036777 39046429 39049330 39032147 39045023 39047358 39048128 39034948 39048971 39027297 39040709 39039392 39044734 39040547 39056180 39045513 39035487 39047755 39030004 
3 39111964 38814822 39094195 39030775 39046870 39043760 39054027 39048725 39036568 39046309 39051724 39038393 39046148 39033717 39045039 39036101 39044785 39047210 39041290 39042297 39054142 39042451 39042057 39041354 39058490 39039502 39041421 39051829 39045155 39035530 39042801 39039634 
4 39096289 38796477 39024277 39267136 39047871 39054643 39045959 39055460 39042499 39039359 39037183 39060519 39048803 39048640 39052270 39044494 39051631 39051587 39037919 39048645 39045967 39058017 39051013 39044260 39049139 39043643 39036836 39044854 39047016 39051535 39039484 39048843 
5 39098911 38812941 39023977 39018526 39309661 39041238 39041716 39042014 39059216 39024606 39050987 39030200 39043425 39041089 39034449 39045090 39051920 39043203 39051539 39054334 39037488 39035009 39051295 39037174 39037600 39039107 39048154 39039994 39053407 39037448 39044422 39044290 
6 39099722 38815391 39024911 39022159 39019489 39304594 39048417 39052556 39044849 39045215 39052349 39054590 39032333 39035559 39043018 39042423 39049358 39038768 39034628 39057761 39034689 39049086 39050925 39038064 39053228 39033839 39054593 39029295 39041762 39037292 39053774 39048924 
7 39085408 38807338 39025718 39022469 39019761 39022324 39295402 39034562 39048006 39038682 39039444 39038741 39036986 39048749 39045673 39042195 39031886 39044300 39049819 39050689 39044741 39047996 39053617 39042235 39043718 39044960 39039740 39054972 39047852 39048682 39047643 39034030 
8 39088915 38813866 39027844 39025903 39024160 39011528 39013133 39283365 39039693 39056956 39051672 39042750 39052769 39050799 39043331 39045818 39049011 39062458 39053165 39047376 39048092 39049454 39045388 39044912 39042114 39045542 39049960 39032874 39058960 39040610 39045781 39047106 
9 39087882 38818356 39025041 39012461 39027624 39023466 39018600 39022953 39299020 39038308 39055067 39042351 39033747 39046494 39044922 39059376 39050938 39037431 39057208 39048479 39048055 39033643 39045483 39045907 39040968 39046080 39037311 39047344 39048394 39058526 39060685 39043744 
10 39086614 38814616 39024366 39015671 39020077 39026275 39017371 39012585 39022131 39305468 39032063 39050239 39042189 39056582 39053386 39049670 39040015 39044633 39035923 39043214 39046662 39047707 39043658 39053925 39046086 39046627 39045347 39040059 39051005 39045568 39054674 39040434 
11 39068888 38815838 39021932 39018676 39023256 39016569 39022018 39026183 39024335 39030207 39286841 39034689 39037556 39051866 39054542 39057124 39052167 39050910 39050845 39045379 39037921 39040886 39053241 39041060 39045042 39046025 39037204 39044730 39046644 39043703 39051936 39042874 
12 39075118 38814790 39019917 39033985 39030516 39012212 39014346 39026438 39026048 39029648 39029569 39286291 39042073 39039457 39052670 39052564 39058118 39041268 39060482 39041568 39048165 39040021 39049559 39037976 39046735 39043027 39041427 39043470 39046167 39060870 39041375 39042363 
13 39064179 38820694 39029365 39032922 39011093 39024696 39021624 39011347 39026047 39028281 39030188 39022126 39281031 39034916 39048630 39037974 39044586 39047873 39043167 39053581 39055124 39033336 39042184 39049890 39052599 39035354 39046613 39049448 39043303 39049967 39045834 39046595 
14 39072161 38818740 39021314 39011454 39016915 39033746 39027503 39028058 39029953 39026281 39018272 39021963 39016046 39272221 39039052 39047278 39055956 39038724 39060309 39045543 39049860 39052811 39040300 39032966 39032531 39046647 39053420 39043325 39044548 39054374 39048758 39049325 
15 39074221 38818912 39022061 39023831 39016073 39020345 39011382 39024872 39020887 39030481 39022524 39019236 39032496 39011215 39256670 39041232 39045910 39047782 39038888 39050672 39050566 39047457 39049766 39053545 39051076 39047705 39041407 39058047 39046383 39021246 39048532 39047306 
16 39069715 38830088 39023075 39026867 39024576 39027482 39026009 39023767 39022778 39017904 39019004 39025904 39022234 39016234 39031925 39239198 39040393 39054543 39053977 39049037 39049359 39046685 39041350 39053038 39048897 39042553 39040049 39058031 39042064 39043037 39041881 39054760 
17 39058421 38835161 39026452 39025300 39014684 39021171 39018942 39024348 39024005 39023996 39023334 39036968 39018155 39029452 39030380 39018233 39263509 39028113 39049939 39033587 39046094 39041048 39039049 39052871 39045141 39047475 39039063 39044507 39042044 39049127 39050247 39063911 
18 39071302 38833083 39029226 39026306 39023977 39022652 39027035 39022218 39019101 39023937 39006722 39012072 39011877 39013186 39018585 39027905 39027410 39257033 39043902 39037299 39046474 39040953 39055935 39048271 39045932 39053036 39047284 39054139 39051488 39051084 39051125 39045287 
19 39060183 38819437 39020897 39017199 39024005 39012387 39021808 39029362 39024638 39029654 39016931 39020687 39024508 39029861 39025451 39015620 39022378 39028546 39268755 39035973 39050753 39045951 39049600 39052602 39045836 39056245 39047346 39058680 39037803 39039626 39044939 39042392 
20 39056597 38822673 39025686 39014444 39017387 39030971 39039671 39022122 39015820 39018044 39032999 39016463 39023789 39020844 39027529 39020777 39017529 39025560 39018838 39252826 39043699 39042923 39043167 39045211 39054725 39044753 39042061 39041948 39040456 39040587 39049958 39047480 
