n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38946611 78166978 39105059 39247607 39259721 39261694 39263530 39261824 39264544 39257874 39251480 39255006 39247940 39243828 39260540 39251006 39257212 39246665 39245422 39244258 39244760 39246015 39243469 39241017 39229503 39238487 39238592 39240522 39229318 39231960 39224131 39227709 
1 39051290 38749620 39059193 39041533 39045556 39041248 39042049 39046932 39035550 39047144 39036364 39041116 39038202 39046218 39043044 39038383 39044137 39034982 39041235 39042318 39049963 39051816 39039034 39027132 39041652 39042742 39042969 39033903 39058032 39050930 39049031 39043180 
2 39082483 38553878 39041525 39181877 39041663 39039770 39050022 39039816 39053162 39039397 39046274 39055839 39051228 39046466 39040370 39045601 39044001 39038596 39042211 39034413 39044062 39048788 39048075 39036535 39042198 39047440 39040979 39041588 39043596 39031434 39045632 39040340 
3 39108717 38812263 39104958 39032552 39042586 39043848 39044731 39043862 39037450 39041339 39048430 39042895 39048904 39026889 39030962 39034357 39045692 39034792 39038830 39036512 39040078 39037407 39043858 39033889 39052871 39044371 39045823 39039197 39039477 39045023 39043667 39043123 
4 39104388 38803539 39015445 39259530 39035137 39045817 39052785 39044161 39046087 39049888 39041808 39049838 39048176 39045988 39043833 39034024 39043837 39043533 39048651 39031340 39051716 39044347 39041676 39044550 39044449 39040827 39054178 39040127 39047513 39048131 39044133 39043313 
5 39097771 38811044 39014258 39015434 39286729 39036648 39047605 39046510 39045577 39038561 39051093 39043719 39035023 39047774 39045225 39043877 39042799 39046624 39048220 39049909 39053100 39041583 39049007 39049056 39052691 39046929 39052015 39047320 39044387 39052585 39043714 39047880 
6 39103016 38797456 39018405 39015623 39022880 39304348 39037101 39042282 39047872 39046667 39040365 39060672 39043450 39042019 39039240 39040746 39046064 39035213 39043648 39050599 39037887 39044817 39043779 39044451 39047827 39044363 39037848 39041288 39057443 39045870 39050372 39042218 
7 39092482 38809146 39017397 39016716 39017585 39016189 39299040 39042373 39049684 39036383 39037995 39037989 39041025 39052230 39044209 39045233 39049826 39045012 39046619 39049111 39033171 39048782 39053625 39041545 39041550 39052850 39046237 39042380 39040000 39042864 39047610 39035221 
8 39082983 38809457 39033317 39011193 39026838 39014610 39019539 39297702 39029535 39051967 39043523 39042381 39045087 39052367 39050431 39050585 39060239 39054014 39033142 39047509 39051957 39040862 39053109 39032954 39052472 39044650 39040291 39040394 39036934 39038278 39042111 39035801 
9 39083878 38824445 39032255 39023873 39028805 39015166 39015410 39029763 39286170 39039062 39046362 39046143 39046686 39045361 39053429 39055084 39049849 39043438 39040710 39046140 39047560 39034722 39054910 39051987 39037104 39051469 39048888 39044069 39038209 39048435 39045762 39041922 
10 39079426 38797869 39018132 39025348 39016986 39008150 39015308 39028776 39028211 39288297 39032625 39050641 39047041 39045779 39058471 39038670 39048903 39049234 39043925 39041208 39056174 39048136 39046586 39043906 39050749 39049569 39050662 39047906 39044579 39048245 39053926 39048253 
11 39085652 38813342 39036751 39022721 39018678 39018817 39023479 39022396 39020399 39021080 39277842 39040626 39054643 39044434 39054740 39057750 39052298 39047353 39045330 39042474 39040517 39045882 39038173 39045270 39033967 39044533 39051741 39043190 39038804 39045047 39043898 39041995 
12 39079916 38810049 39022091 39025521 39024126 39022113 39014196 39022766 39012246 39020380 39011522 39290647 39042517 39050639 39043759 39045106 39044442 39042004 39044499 39047667 39044966 39045851 39046789 39052978 39051941 39047023 39041931 39042743 39056424 39057377 39048593 39047394 
13 39072305 38816105 39026281 39016553 39026979 39023166 39026301 39018871 39018031 39029695 39023527 39032222 39288850 39035442 39047182 39043937 39037034 39048132 39036754 39042312 39046864 39045137 39041690 39048506 39050679 39033415 39052961 39041511 39047807 39044817 39050499 39045743 
14 39070665 38827979 39026529 39019978 39022209 39030051 39017561 39024378 39019730 39034783 39027503 39013976 39011319 39273139 39037669 39052331 39048119 39041562 39051865 39042559 39051864 39043351 39047229 39041101 39036094 39052756 39047430 39052053 39051634 39038624 39045496 39052733 
15 39064814 38825325 39016467 39016615 39024306 39027183 39013976 39031454 39025741 39010661 39026929 39032185 39026761 39020665 39273941 39031159 39044483 39053001 39047870 39049630 39045443 39038179 39051588 39051676 39042544 39052074 39049344 39047861 39040965 39037515 39033112 39031905 
16 39080177 38811324 39026679 39024841 39019164 39019072 39027873 39028358 39030574 39022095 39015926 39030690 39010030 39026124 39023876 39245712 39040646 39053470 39049204 39041316 39047474 39062558 39052479 39037489 39041215 39055614 39053287 39049779 39048073 39043553 39048424 39079756 
17 39072734 38841445 39017638 39024185 39016878 39012751 39027528 39015267 39022755 39031224 39028865 39036553 39026537 39024456 39035261 39014247 39266267 39049679 39040601 39043147 39051720 39039980 39044620 39049116 39049364 39042901 39045989 39038516 39042528 39053652 39052860 39054172 
18 39059398 38824738 39020219 39020507 39029734 39014534 39029010 39015026 39021951 39013870 39015822 39021337 39019603 39027985 39019820 39016200 39021228 39263990 39041207 39044602 39054617 39043482 39046617 39053890 39051201 39059180 39036129 39046369 39046048 39051806 39048351 39037975 
19 39050278 38822544 39027151 39019571 39023589 39019199 39031888 39022381 39036530 39015879 39024323 39027523 39018824 39030142 39034431 39019880 39016913 39033904 39266567 39036730 39049045 39048332 39055041 39047521 39047561 39049652 39051967 39054221 39037816 39041009 39037944 39053616 
20 39068263 38824671 39025851 39029483 39022604 39017945 39019778 39018877 39029391 39033918 39015107 39020247 39019900 39028036 39019985 39018522 39016432 39022312 39036387 39263770 39048625 39037992 39053283 39049278 39049673 39042889 39056890 39041463 39040692 39045044 39048788 39042967 
21 39051737 38833663 39029555 39021826 39027501 39026676 39028769 39025936 39014650 39026660 39019283 39030651 39027411 39025033 39024405 39018664 39026716 39023305 39015925 39031406 39250322 39035995 39048312 39051878 39047851 39055416 39047773 39051070 39052444 39053652 39051045 39059215 
22 39046169 38829762 39022697 39020114 39023464 39027106 39016751 39028828 39033879 39030417 39012736 39024525 39027662 39034397 39038302 39025591 39014847 39021575 39028171 39014263 39031663 39253176 39042747 39052846 39040772 39051671 39050916 39039359 39053785 39055262 39050821 39042919 
23 39050560 38834062 39019651 39031489 39028240 39012460 39020800 39027182 39015161 39026982 39033921 39031607 39013389 39027067 39028379 39016637 39025563 39029652 39027243 39028643 39024678 39025252 39253739 39036396 39052397 39050848 39043493 39052319 39055447 39040925 39049535 39049012 
24 39046148 38838716 39042079 39025215 39025620 39023543 39026461 39020347 39022362 39031143 39025901 39026030 39016868 39021341 39022609 39020090 39021018 39020453 39019652 39016232 39020126 39034064 39029227 39252674 39041804 39057483 39031156 39042658 39058314 39049844 39038085 39042949 
25 39057218 38835768 39033616 39022027 39016667 39019334 39016490 39034076 39030904 39032391 39031948 39021868 39009412 39027634 39033100 39018827 39026022 39031500 39022481 39021758 39038117 39018562 39026165 39031962 39244317 39034655 39044532 39048601 39051891 39052857 39046151 39039903 
26 39047896 38825879 39028143 39032612 39014026 39027429 39013739 39025617 39027896 39034103 39021119 39012228 39026731 39017607 39023084 39018372 39021901 39028728 39027490 39037739 39038210 39036594 39039845 39021994 39019898 39240755 39050765 39045776 39048557 39043170 39044272 39061733 
27 39036737 38832747 39031313 39031115 39032015 39025108 39012447 39028102 39015159 39040651 39035404 39019443 39028303 39039592 39037978 39023308 39027144 39028240 39017232 39024799 39040233 39030289 39035658 39019903 39026441 39032298 39241884 39041771 39048683 39054018 39057642 39042048 
28 39032183 38823479 39026036 39029514 39021514 39026638 39030862 39020464 39023129 39026831 39032796 39031214 39035790 39031580 39033818 39025049 39033508 39020986 39027336 39029365 39024041 39019966 39031421 39028447 39021176 39036956 39038896 39228923 39042508 39061757 39059784 39045226 
29 39032005 38845731 39035496 39031878 39022574 39026161 39021287 39022326 39032977 39027843 39016730 39018226 39029031 39020121 39025354 39021350 39018226 39024976 39021442 39029706 39028926 39011168 39009850 39018910 39023181 39020894 39026164 39030697 39235329 39050009 39047524 39065663 
30 39038293 38848835 39031413 39024601 39028865 39026359 39025885 39016830 39025760 39026210 39025243 39020245 39028707 39027054 39016305 39012543 39027190 39010900 39026379 39021024 39031640 39024193 39028581 39025300 39026063 39026462 39009607 39034556 39026351 39229679 39051831 39055124 
31 39034305 38826084 39034354 39016263 39040154 39026872 39037271 39023795 39038095 39025868 39034235 39020399 39030657 39025843 39020306 39019735 39025670 39019673 39033102 39025983 39018850 39023286 39033820 39024763 39028153 39024155 39035528 39024036 39030224 39037089 39240229 39029104 
32 39029963 38834017 39014304 39017197 39028457 39031725 39024353 39024160 39034255 39021382 39029286 39027280 39028792 39019913 39033202 39017008 39035058 39019584 39023034 39040779 39031207 39034868 39020644 39017267 39019120 39022887 39027749 39026288 39030474 39032420 39020369 39212447 
33 39026524 38845565 39025081 39040154 39019239 39030617 39032826 39025857 39025059 39021390 39026169 39028339 39030061 39029764 39026040 39021382 39025004 39032142 39035479 39040969 39028477 39027411 39026560 39030756 39032640 39038901 39042324 39019020 39032182 39031201 39037360 39022363 
34 39031244 38846522 39030707 39029519 39036658 39021523 39027263 39027573 39034627 39013733 39038076 39029650 39026785 39029032 39022963 39025057 39033541 39038461 39017531 39025407 39032021 39035457 39029662 39033999 39025091 39026073 39026841 39032312 39024476 39034824 39026521 39024950 
35 39034773 38841689 39034031 39023257 39023466 39024151 39016678 39034617 39018113 39029468 39017092 39036597 39033502 39018951 39018456 39012781 39035445 39019017 39018083 39032229 39035604 39035060 39025452 39027624 39027121 39024251 39030521 39041325 39021563 39035450 39035800 39020550 
36 39028148 38855183 39028502 39016248 39035917 39030575 39018141 39026579 39031941 39035666 39031672 39031527 39041261 39027703 39036093 39028349 39022893 39025625 39034866 39023143 39026927 39031901 39028677 39025123 39029197 39024286 39018836 39024715 39030305 39016616 39014732 39033236 
37 39023885 38857789 39025080 39035581 39023915 39030989 39036639 39023737 39030444 39024869 39036219 39030412 39027121 39029011 39032682 39025277 39027295 39020075 39035308 39018904 39025800 39024909 39030603 39026014 39025175 39026563 39025421 39034751 39020818 39023226 39039876 39026973 
38 39027548 38863626 39033028 39026520 39025676 39027180 39023369 39031286 39028840 39034903 39023568 39024917 39020285 39033725 39022847 39019620 39034317 39023123 39032168 39027870 39034958 39042639 39034970 39024413 39030904 39028601 39030097 39027889 39022959 39036141 39025342 39019497 
39 39018243 38867778 39038648 39042421 39037199 39031654 39024468 39033722 39027121 39027082 39040450 39035992 39018818 39030869 39034139 39032748 39024467 39035050 39030813 39028644 39024476 39033822 39041344 39023119 39025746 39029581 39041857 39015649 39033141 39019327 39036448 39024239 
40 39016528 38845639 39032859 39034181 39031864 39024456 39030585 39028191 39024486 39022422 39029960 39031086 39023148 39029801 39025015 39024011 39023390 39034468 39032757 39034795 39024655 39013432 39029225 39019305 39024452 39027952 39022086 39039024 39035894 39029849 39017530 39024511 
41 39018038 38861420 39021746 39020848 39033628 39023164 39031089 39020256 39015496 39030431 39031106 39033750 39035147 39026115 39043107 39016664 39028259 39015207 39024291 39033189 39028710 39038444 39028428 39023289 39026383 39037428 39039409 39033860 39023869 39026298 39032768 39029016 
42 39024556 38849263 39025618 39034845 39021978 39030202 39029513 39030662 39028608 39037254 39033106 39020737 39037638 39025865 39030841 39035644 39040657 39035697 39038226 39037378 39030845 39030966 39025124 39032558 39034515 39028205 39031200 39024613 39028914 39026534 39030636 39024284 
43 39011367 38857981 39030640 39021532 39029994 39034827 39024305 39032510 39029787 39037081 39034137 39027536 39031608 39032384 39020861 39027916 39033458 39035013 39028308 39030677 39038790 39036253 39030938 39033302 39037451 39038078 39036216 39039847 39020283 39030145 39033112 39016256 
44 39017543 38852938 39032326 39031874 39030202 39023073 39036435 39033799 39029421 39023900 39024655 39031831 39034312 39023518 39038828 39026783 39033420 39021045 39028113 39038387 39034018 39025402 39027429 39031940 39034449 39030687 39038067 39032818 39022464 39024122 39030631 39028297 
45 39011130 38850148 39038965 39037649 39022105 39029945 39035137 39033365 39032360 39030876 39035515 39038967 39025810 39029406 39018264 39032753 39035275 39023554 39011949 39024725 39031802 39033071 39030689 39033896 39031043 39035333 39042699 39017750 39028892 39031242 39037137 39039168 
46 39018423 38850596 39022255 39035689 39026980 39029636 39029486 39035088 39035337 39029180 39026687 39021810 39029167 39032639 39032613 39028039 39030341 39030028 39041705 39032531 39014660 39031668 39030101 39029283 39030292 39037798 39026075 39022496 39029621 39035534 39014289 39030223 
47 39025421 38851837 39031039 39025501 39026773 39033953 39036092 39026505 39034375 39029963 39031995 39020108 39036591 39032906 39023262 39027458 39031481 39046249 39034326 39042215 39034070 39034749 39043341 39028737 39023112 39024689 39032172 39024614 39039563 39025054 39037207 39019839 
48 39029258 38854189 39029013 39035865 39030873 39033825 39029054 39038706 39042339 39041029 39035619 39035619 39032529 39029022 39030076 39032036 39035131 39038320 39030360 39027985 39027986 39026127 39023661 39030247 39046248 39031298 39044590 39028684 39028866 39032849 39024889 39021464 
49 38990747 38864122 39035242 39026970 39029549 39022816 39025370 39029005 39032813 39030510 39033536 39042768 39034697 39028329 39027559 39027100 39035048 39033352 39032265 39033613 39030138 39032867 39029061 39031257 39034107 39033795 39025397 39040840 39035467 39033967 39035216 39018937 
50 39030115 38854946 39029101 39030148 39029111 39043538 39045990 39036055 39024156 39030974 39020013 39033828 39024870 39032868 39035972 39025613 39029855 39030683 39031682 39032126 39028090 39031415 39026606 39025451 39017840 39035224 39027456 39017773 39033841 39029723 39024743 39028454 
51 39023080 38863324 39032823 39028969 39032870 39030222 39024012 39029715 39034985 39027648 39038554 39037587 39034442 39027273 39029846 39035902 39030921 39029992 39031902 39038255 39039656 39036913 39028929 39036537 39034358 39038517 39040883 39023974 39026892 39032806 39039325 39028590 
52 39021325 38856716 39028088 39028346 39033836 39034715 39033961 39037672 39033047 39025642 39036009 39031159 39029559 39029805 39033894 39006221 39037688 39035524 39022980 39030497 39037207 39031807 39021010 39032012 39025040 39022641 39027845 39016026 39033959 39040123 39028170 39015985 
53 39012041 38860353 39039710 39032521 39049388 39046649 39021241 39041322 39027428 39035221 39030881 39039493 39036673 39026466 39040634 39029271 39025233 39024423 39024564 39031150 39036790 39029993 39034403 39028381 39023053 39026246 39029033 39035955 39030700 39025565 39041580 39014286 
54 39013600 38866176 39031581 39035394 39030675 39039299 39030992 39027787 39025738 39044081 39038625 39031379 39037543 39038758 39033453 39021417 39037397 39028166 39033250 39023885 39029026 39042351 39031736 39028820 39028126 39038249 39026236 39031369 39039954 39035909 39032780 39035344 
55 39014445 38870172 39029725 39027051 39026795 39023392 39038157 39039390 39038339 39041962 39040415 39041637 39030205 39034150 39027422 39031115 39038699 39033599 39030661 39038833 39039115 39031634 39038479 39028867 39048018 39033265 39029927 39030216 39024945 39040790 39040633 39027156 
56 39018003 38866772 39036098 39026525 39030395 39030305 39033299 39033666 39039643 39034618 39033993 39023219 39038333 39019295 39032657 39028262 39032592 39027408 39033660 39024068 39043753 39041302 39034618 39026198 39030418 39036738 39030896 39035944 39034623 39026682 39026025 39032622 
57 39021273 38871183 39039429 39026811 39039638 39026925 39027491 39025540 39026541 39031040 39029881 39045358 39031043 39030053 39023795 39020662 39017731 39036162 39025356 39028458 39030085 39033349 39040066 39028543 39039974 39039357 39032270 39038916 39016616 39026847 39028406 39021216 
58 39020866 38860376 39037099 39038780 39032395 39021125 39034048 39021168 39032745 39034625 39035075 39042921 39027898 39037523 39038993 39035341 39030478 39030262 39033634 39040579 39041005 39025969 39037028 39032226 39031987 39018413 39034916 39026687 39031433 39035404 39026501 39029657 
59 39011387 38874737 39033270 39025318 39027539 39028805 39039871 39032071 39032915 39027687 39032276 39037694 39042920 39034076 39036608 39017926 39042027 39032150 39036086 39034433 39026360 39032284 39045562 39031067 39033955 39039801 39038930 39048769 39038992 39040148 39045602 39022628 
60 39015557 38877472 39036397 39022034 39026188 39028995 39027720 39030603 39025242 39038660 39031472 39036227 39026470 39031180 39042938 39023617 39031221 39034796 39037786 39035633 39023080 39026107 39042782 39032416 39038257 39041470 39031876 39031827 39028384 39033389 39017246 39024216 
61 39012023 38876826 39033711 39029333 39033076 39043755 39028048 39035444 39034456 39013195 39021119 39036570 39030197 39030677 39028964 39024522 39035840 39040366 39039502 39039614 39026941 39032020 39036718 39037800 39039506 39033583 39033803 39030545 39031275 39031550 39041189 39030632 
62 39013647 38875127 39037609 39034769 39024212 39036845 39028988 39036659 39030100 39032929 39038089 39032623 39029839 39032316 39039146 39024660 39029841 39032623 39027955 39031315 39030717 39035749 39033581 39029951 39033840 39036485 39032174 39032329 39036771 39025724 39020736 39032920 
63 39016954 38865756 39032263 39031463 39039871 39030390 39038376 39033459 39043379 39032810 39029442 39035212 39037223 39039993 39032452 39032725 39033107 39039817 39044610 39030523 39041755 39037719 39028748 39035185 39046204 39037688 39038805 39032169 39047122 39036325 39033367 39027761 
64 39033069 38878032 39043273 39023563 39036307 39033356 39038293 39030540 39039331 39040490 39032029 39026290 39039017 39042883 39037657 39032420 39040763 39046275 39045617 39032839 39028020 39047781 39035524 39043744 39029752 39039882 39048177 39029325 39038644 39034288 39029236 39031360 
65 38998162 38866896 39032191 39022789 39041756 39037052 39030764 39027893 39038048 39031391 39040504 39037712 39041009 39049910 39033012 39038570 39029993 39040782 39029226 39034486 39033525 39037092 39046768 39030654 39038805 39045847 39043857 39030703 39029362 39029906 39048510 39034266 
66 39017844 38861769 39028869 39039887 39039524 39030978 39036822 39028285 39033197 39032644 39036703 39031179 39043635 39042205 39027300 39027858 39028389 39038797 39049225 39026447 39028072 39031586 39035029 39028299 39036675 39044803 39040327 39042343 39038168 39042746 39040152 39035426 
