n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38947298 78164621 39116965 39254137 39271850 39259008 39259449 39255189 39257394 39258326 39245622 39245376 39255259 39254307 39254268 39256746 39250157 39239365 39242474 39247313 39246236 39241340 39246135 39230695 39235492 39244505 39242694 39236814 39225169 39232307 39218475 39221808 
1 39045166 38756972 39062732 39041107 39045537 39036392 39048317 39051715 39031939 39051052 39048152 39050473 39042325 39049068 39049028 39035224 39050607 39038316 39040549 39047181 39045101 39041851 39041572 39029855 39039418 39045262 39035815 39041831 39050169 39051387 39044177 39037164 
2 39073649 38554144 39027552 39180601 39044118 39042578 39040815 39039508 39055817 39047608 39045969 39050878 39050136 39049181 39047803 39038480 39041920 39036695 39043052 39043183 39047135 39039926 39052079 39045696 39031164 39048146 39040203 39033632 39045252 39038160 39052491 39041198 
3 39099297 38805746 39109173 39038967 39040384 39045755 39039672 39051445 39037899 39052189 39048475 39043094 39058260 39036688 39036121 39037525 39049055 39039926 39043604 39036032 39039598 39038951 39046046 39039037 39048225 39047436 39037767 39038526 39042507 39042797 39046218 39041947 
4 39104943 38796083 39016442 39253463 39036684 39046700 39060200 39050770 39054690 39050237 39053640 39041578 39046729 39041243 39042091 39036995 39051615 39040999 39048263 39047114 39044762 39046176 39035490 39049702 39046896 39048649 39052103 39047877 39045962 39052877 39047611 39034500 
5 39100138 38800213 39028683 39011081 39295176 39033525 39045295 39036357 39051244 39038640 39055628 39044085 39037353 39039447 39051292 39040945 39042154 39042224 39046993 39030726 39043298 39046530 39046371 39044926 39052051 39036288 39045501 39049618 39046516 39060646 39051853 39034516 
6 39100558 38812779 39024355 39015195 39018008 39306950 39038858 39045787 39040451 39048979 39036295 39052452 39043110 39046609 39042856 39043131 39050331 39036730 39049108 39053013 39038000 39048771 39047951 39030807 39051211 39044156 39047897 39044521 39060279 39040095 39052325 39054662 
7 39086733 38812844 39017621 39021844 39014208 39016447 39297878 39037883 39062836 39042122 39032526 39032221 39031323 39047303 39054655 39045826 39052372 39035646 39056734 39040107 39045345 39052063 39042512 39035949 39051205 39047394 39049322 39045870 39044046 39055999 39044577 39035435 
8 39095279 38817960 39025833 39004185 39033318 39015018 39023233 39306716 39033494 39049788 39045998 39041515 39044103 39047164 39046609 39052382 39054072 39043358 39042043 39039701 39049374 39043555 39054896 39041597 39051774 39045253 39048892 39039820 39044549 39039987 39042638 39041309 
9 39075061 38816665 39031111 39022299 39019128 39017480 39015701 39026959 39298451 39037832 39040054 39036573 39047219 39053198 39047568 39059288 39042469 39048660 39043241 39051955 39040219 39032801 39051707 39045450 39047733 39059043 39041564 39052954 39047222 39046224 39045247 39045635 
10 39070612 38802091 39018460 39021490 39026225 39016789 39027039 39026573 39016257 39283939 39040315 39044908 39039591 39042502 39047145 39032719 39048705 39049316 39046976 39033332 39048045 39046102 39054994 39042129 39051320 39050047 39049084 39049296 39044190 39050868 39046357 39049097 
11 39084268 38820443 39031081 39027348 39018022 39026909 39018157 39018796 39033301 39021122 39288125 39047051 39047577 39045550 39046214 39049902 39039231 39043205 39042863 39035445 39049504 39042905 39033432 39045235 39039802 39051815 39039853 39044841 39042648 39041261 39053202 39046474 
12 39085044 38810038 39022618 39026113 39026110 39029807 39014181 39023655 39019892 39023828 39022489 39286048 39042724 39051470 39042078 39038101 39045476 39052519 39044773 39053009 39043160 39046662 39036648 39049605 39051127 39049704 39046697 39054935 39044407 39055977 39045841 39039816 
13 39081525 38822394 39024730 39023994 39027255 39024995 39035643 39027147 39022736 39035399 39023234 39020249 39286766 39035876 39062345 39049802 39034437 39055837 39034472 39055247 39050527 39046774 39039259 39047182 39044086 39039290 39058150 39044527 39049912 39041937 39047212 39038505 
14 39064611 38816822 39022380 39021563 39008479 39033148 39020217 39026563 39018944 39025883 39022916 39008694 39025554 39271559 39041175 39056908 39045153 39052197 39050728 39036300 39052771 39041949 39046928 39043172 39040042 39047455 39038770 39042958 39047765 39044441 39051595 39054978 
15 39064862 38821628 39016886 39024472 39016540 39015256 39010237 39017733 39026125 39014539 39018124 39023001 39027754 39018749 39274571 39041076 39044118 39059761 39048358 39050304 39039370 39050094 39045483 39041436 39038139 39049390 39055316 39054378 39037546 39041542 39037835 39045305 
16 39074662 38814958 39030922 39026331 39016517 39025843 39018958 39029297 39029470 39026887 39020205 39027776 39012611 39026378 39021692 39239552 39041327 39048677 39053510 39036035 39056393 39046142 39056200 39040404 39044350 39048183 39051971 39043511 39044843 39040148 39046412 39069261 
17 39058395 38833051 39026362 39030420 39026416 39016978 39018884 39020121 39018878 39017959 39025220 39020661 39028868 39023220 39025461 39028794 39265953 39054051 39038054 39048886 39055057 39039396 39045673 39049301 39040506 39037696 39047266 39051252 39035586 39045742 39048406 39051402 
