n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38946973 78171663 39115027 39264374 39264734 39260894 39260452 39256842 39260954 39256477 39265357 39255546 39259625 39243266 39255877 39246729 39248596 39245204 39249050 39241634 39255971 39244748 39237501 39235858 39235244 39246218 39211277 39235488 39236208 39233180 39214508 39219757 
1 39051205 38754457 39067904 39040743 39052297 39048984 39054612 39042612 39046355 39046595 39041287 39045563 39035303 39042055 39044024 39048986 39043840 39043267 39042228 39043032 39042751 39038105 39050151 39039608 39043857 39041105 39054414 39045022 39050892 39036091 39052411 39043336 
2 39078749 38548816 39038336 39177484 39036555 39054814 39045519 39038550 39044637 39046513 39048604 39043227 39048633 39052070 39044682 39044017 39049532 39049701 39037768 39042563 39048816 39039998 39043548 39038395 39038477 39052549 39043786 39035681 39043132 39033504 39037887 39040296 
3 39120693 38805806 39111725 39045593 39046607 39038019 39041367 39037953 39049137 39044129 39034195 39054333 39046317 39044492 39046609 39042098 39042874 39040019 39050098 39051434 39041459 39044363 39049904 39044873 39042540 39048075 39043811 39043723 39037446 39037304 39052782 39041461 
4 39109411 38800718 39016717 39267325 39038993 39055011 39044959 39048287 39051084 39048890 39054498 39034298 39049027 39049190 39048938 39059777 39049663 39041411 39046945 39044056 39053173 39052505 39058832 39046571 39054056 39052413 39039009 39045682 39050612 39055985 39046350 39045962 
5 39105172 38806605 39008683 39025506 39307000 39033618 39050758 39053190 39036685 39041648 39055062 39046843 39047305 39046765 39048377 39049768 39046794 39048886 39051012 39045245 39048690 39038641 39033862 39046631 39036238 39049035 39038105 39041814 39061626 39043258 39037415 39057722 
6 39102282 38814941 39018516 39022202 39018833 39308450 39041724 39038391 39043339 39042781 39054771 39034507 39051730 39038753 39048187 39041194 39053379 39044017 39048317 39047806 39042113 39042811 39045665 39047306 39038691 39056349 39045775 39050900 39046637 39043468 39040632 39053151 
7 39098263 38805130 39023076 39007237 39025670 39017526 39311202 39039747 39051889 39057031 39055014 39049592 39041747 39036840 39049781 39048331 39053423 39045360 39033855 39049856 39042333 39053151 39049767 39045749 39039064 39041518 39043869 39043312 39047866 39045505 39040155 39048458 
8 39100446 38810739 39027897 39023426 39019547 39013107 39021551 39304342 39042442 39059411 39058837 39051884 39052271 39053933 39051497 39054948 39047908 39041739 39047621 39043688 39056797 39047290 39049004 39048665 39050491 39062682 39047063 39033530 39043724 39049269 39049451 39040788 
9 39084027 38812013 39020662 39017853 39024164 39012742 39020378 39022577 39298632 39044856 39050226 39056532 39052393 39043272 39045322 39039104 39048060 39038159 39055932 39044382 39052679 39047913 39045815 39048834 39045926 39049992 39041070 39059262 39039570 39037588 39055002 39047142 
10 39084952 38810654 39037643 39026915 39021864 39028352 39032335 39020540 39029204 39281514 39023967 39042558 39053507 39057698 39041706 39044453 39049878 39041605 39038029 39037357 39039832 39047367 39046938 39030343 39043619 39049902 39048939 39059794 39037407 39045950 39046944 39046197 
11 39064727 38817292 39022822 39019498 39017776 39023380 39020513 39026827 39025115 39018722 39282384 39032061 39049242 39044736 39036529 39036047 39042958 39057730 39050341 39035094 39049607 39046805 39047599 39054858 39051053 39051481 39053119 39047838 39047976 39056915 39047389 39044956 
12 39081672 38814032 39022816 39021984 39028792 39025429 39019626 39019508 39012006 39018225 39024580 39278255 39034989 39039236 39036345 39053320 39040789 39041710 39048940 39035854 39050355 39035472 39049021 39036806 39048930 39034191 39047097 39047774 39065569 39047539 39053320 39047735 
13 39064597 38811231 39023938 39024646 39028014 39020119 39018271 39018727 39019357 39024855 39024456 39020155 39277372 39042853 39063311 39040472 39049167 39046871 39045434 39046579 39050206 39044596 39048287 39039805 39046656 39035755 39055872 39049813 39042584 39045468 39052534 39041005 
14 39076800 38821505 39032764 39014958 39023768 39012847 39026674 39021812 39022677 39011149 39027029 39007391 39018657 39275754 39031739 39049831 39040900 39045151 39044230 39031931 39044770 39046410 39058046 39033877 39044022 39045411 39049499 39047046 39027093 39043292 39056886 39043474 
15 39076345 38831659 39028941 39016366 39022996 39022847 39023023 39018319 39011627 39013079 39029047 39030251 39029546 39018803 39267548 39038792 39049680 39038775 39041435 39046595 39049285 39056614 39047886 39040608 39044980 39049113 39053952 39052739 39049665 39040245 39037310 39049799 
16 39077967 38823451 39021210 39016782 39022198 39022530 39027099 39026369 39029876 39022423 39022208 39023658 39023677 39021891 39038466 39242723 39039737 39048440 39051430 39037419 39042928 39046941 39044926 39049627 39052117 39047128 39053154 39045407 39041554 39052575 39039545 39047627 
17 39057859 38832497 39033185 39035054 39028622 39028357 39020088 39024613 39028147 39018403 39014675 39017717 39020308 39025305 39025807 39013339 39263259 39033882 39050144 39051867 39047410 39056017 39047307 39047899 39038727 39041726 39041657 39048872 39035594 39044361 39044321 39055327 
18 39069762 38826035 39016102 39026813 39018295 39027833 39028751 39021937 39029103 39030151 39022378 39030477 39014414 39027850 39026934 39024743 39026897 39273527 39052092 39049083 39051932 39058264 39045844 39057333 39037412 39050108 39046400 39052162 39060086 39046006 39043669 39060263 
19 39056984 38818496 39017029 39035136 39014685 39019946 39019450 39037652 39029357 39034038 39026115 39020490 39043787 39023035 39019456 39020166 39012582 39025220 39268496 39051074 39045743 39033267 39065118 39047545 39061045 39039635 39047698 39046620 39054867 39043132 39044610 39038280 
20 39047859 38819149 39025563 39032067 39027748 39013199 39017539 39016464 39012887 39025621 39005728 39021406 39036750 39023630 39026627 39026932 39031263 39019809 39017289 39257483 39034617 39057232 39058449 39040726 39048067 39050851 39053289 39047151 39051377 39040033 39052058 39035812 
21 39045093 38818108 39022794 39024601 39020027 39022426 39022033 39022933 39021604 39023162 39033487 39043167 39032293 39035512 39025840 39008018 39031811 39031021 39024874 39033058 39259812 39042928 39041405 39047424 39042855 39050249 39050583 39038666 39044991 39043737 39050611 39046966 
22 39050407 38826869 39026927 39020780 39014799 39013065 39029506 39023829 39022986 39020893 39015163 39023983 39022246 39030897 39029613 39015767 39017381 39021592 39029192 39035125 39030264 39243217 39043335 39052564 39058493 39050861 39055460 39054878 39053361 39038519 39057958 39047086 
23 39035414 38831086 39026486 39032460 39041051 39022997 39018346 39036997 39033921 39032825 39022280 39013337 39017162 39027061 39027191 39025585 39028685 39014840 39017769 39031628 39029523 39030968 39253594 39053254 39066595 39040026 39060118 39043763 39045891 39034325 39036089 39046375 
24 39047106 38834822 39034615 39013600 39030717 39027815 39006997 39017917 39031936 39034603 39027518 39017610 39026550 39028452 39022328 39022038 39033085 39032670 39022528 39015684 39022292 39026303 39021973 39252317 39049084 39047044 39033672 39041517 39054251 39055689 39043605 39049412 
25 39045478 38831127 39016071 39028902 39030345 39032935 39019957 39027635 39016799 39021864 39018836 39006003 39027595 39021891 39012484 39026332 39016134 39021656 39029408 39026190 39024443 39030395 39034073 39020981 39253421 39048487 39049674 39042245 39053452 39038073 39056901 39047548 
26 39048888 38841794 39030313 39016445 39024518 39012354 39016616 39019372 39033407 39023025 39027352 39036000 39021460 39019019 39025751 39037875 39033168 39029282 39036707 39011973 39026457 39024046 39022726 39025969 39027274 39249631 39034979 39057701 39046504 39045762 39045862 39047671 
27 39040611 38841770 39028817 39026333 39032226 39035773 39030168 39025014 39026954 39034591 39037404 39028684 39022828 39037106 39026695 39019756 39036568 39023021 39027269 39037490 39019393 39035182 39034882 39022287 39025671 39025677 39237513 39053885 39045096 39042129 39042526 39050669 
28 39035665 38830792 39027483 39024976 39016365 39028705 39019165 39031345 39014086 39031912 39026367 39018777 39027299 39026765 39034410 39023728 39014099 39021160 39022874 39030605 39022336 39019838 39030129 39028883 39034187 39025725 39022997 39241097 39041225 39048465 39045966 39058286 
29 39029721 38845138 39038161 39024858 39027302 39027981 39021736 39023631 39036136 39037136 39017472 39021670 39026178 39030072 39019963 39015856 39016049 39022403 39018918 39034619 39034520 39022228 39028093 39036672 39024282 39028048 39026774 39029521 39227216 39048980 39045516 39045896 
30 39030990 38840335 39031246 39030470 39027578 39015329 39029629 39029548 39016620 39029551 39029528 39016928 39036698 39028949 39035775 39016804 39027276 39033199 39027719 39019694 39032174 39023551 39030668 39014797 39012081 39034879 39038215 39026771 39019091 39235422 39048763 39041376 
31 39036418 38828378 39041708 39030408 39031860 39028215 39031099 39017577 39032811 39032483 39023287 39027680 39042803 39028397 39020697 39012434 39035466 39019837 39024640 39025029 39031188 39019805 39037021 39035174 39034308 39028657 39030926 39027204 39029098 39031792 39240022 39035632 
32 39032708 38844090 39027884 39030457 39023002 39025545 39039269 39012049 39022958 39022564 39017694 39018095 39017589 39029888 39020062 39009576 39028639 39022014 39029578 39036714 39029557 39028677 39036192 39030781 39015130 39027650 39018098 39033850 39022907 39026124 39023200 39209843 
33 39028577 38846744 39034657 39026427 39023652 39025418 39028233 39031097 39019748 39023962 39022582 39028418 39023002 39025396 39023807 39021702 39028916 39025606 39031868 39030677 39032350 39018947 39032284 39023151 39007801 39035140 39027784 39017652 39042175 39030890 39031712 39010555 
34 39018743 38834354 39035493 39016346 39029493 39025181 39020002 39029923 39025014 39012636 39028331 39029274 39020331 39023409 39033691 39026392 39034848 39034915 39025513 39019586 39028511 39025149 39034066 39030957 39022202 39036520 39032178 39018918 39027900 39028565 39031172 39015595 
