n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38937830 78178987 39124665 39262226 39265058 39258066 39253459 39246485 39255323 39249220 39266915 39257515 39257004 39250903 39260752 39247635 39248435 39246661 39250408 39234880 39245405 39249747 39237808 39239730 39235345 39238779 39215301 39238553 39238261 39224482 39220480 39223572 
1 39038398 38758377 39071979 39033475 39053242 39044630 39049650 39046300 39046852 39041535 39052780 39050802 39032794 39051658 39037554 39044122 39038225 39053705 39045865 39051460 39048902 39041973 39041679 39037513 39038559 39038370 39045229 39042563 39035733 39029043 39052165 39037613 
2 39079276 38546408 39025841 39186000 39041606 39047136 39036693 39037421 39050964 39041002 39038054 39038957 39046417 39056940 39039249 39034035 39047180 39046045 39040041 39042882 39050171 39037921 39042153 39049950 39040753 39046280 39031776 39045237 39037803 39039334 39037645 39044380 
3 39121116 38813199 39104986 39032543 39052793 39038187 39045202 39044333 39042296 39045997 39039754 39059420 39043275 39043077 39045833 39043535 39040757 39030771 39047795 39051412 39040686 39045167 39036327 39042080 39039037 39037700 39043201 39042433 39038647 39043535 39043634 39039670 
4 39101704 38795419 39022471 39252789 39040226 39050959 39039940 39050010 39045082 39050829 39044907 39031597 39046404 39042708 39048376 39053607 39045434 39043803 39041566 39052971 39053266 39053013 39041524 39043769 39045077 39050918 39044557 39049041 39045504 39054531 39042018 39045674 
5 39097329 38798597 39023273 39012744 39299933 39040169 39051274 39042056 39044733 39041489 39050756 39049103 39041836 39038795 39042230 39045663 39049228 39044802 39052767 39046377 39047838 39049607 39046009 39050108 39051840 39049138 39044226 39039046 39050128 39042672 39042260 39059514 
6 39106200 38816776 39019051 39027603 39024778 39301831 39042452 39040038 39036497 39043083 39049715 39037712 39043608 39053945 39047391 39047196 39057830 39041834 39052840 39037874 39031502 39045485 39049350 39043205 39045586 39053583 39040666 39046899 39050617 39052454 39050889 39048903 
7 39095686 38799674 39011888 39023963 39023903 39019932 39307957 39029676 39055868 39051197 39046647 39054722 39045264 39033369 39048756 39044557 39050806 39045446 39037792 39041131 39036330 39043806 39052323 39045702 39037864 39048786 39047290 39045841 39047916 39041022 39038228 39039955 
8 39105005 38808855 39025829 39021273 39008980 39011135 39018259 39290857 39035849 39055712 39051331 39043535 39048089 39043100 39048553 39050266 39037297 39039798 39044678 39047405 39054336 39043362 39045732 39058516 39052798 39060038 39051312 39035320 39043716 39057668 39046892 39052266 
9 39086014 38815348 39011571 39025017 39016119 39020020 39021456 39024301 39300355 39045554 39041232 39051455 39045987 39041607 39041036 39041984 39055094 39041992 39042814 39053079 39061331 39041128 39036008 39042621 39041620 39041971 39045382 39051958 39044107 39035466 39056564 39044986 
10 39095849 38825120 39037444 39030800 39028033 39027872 39023893 39023490 39030678 39288389 39042703 39048223 39049304 39052693 39047298 39046004 39040194 39035752 39034459 39040484 39041561 39048618 39053690 39043753 39037396 39046976 39043087 39052698 39039376 39045709 39044572 39043369 
11 39057686 38813827 39028294 39022805 39013252 39035369 39023083 39027248 39014592 39020634 39275305 39032430 39045912 39043375 39035369 39038794 39039175 39043739 39049534 39040593 39054758 39043563 39057158 39054649 39048467 39045175 39051476 39042686 39054358 39041317 39044036 39054733 
12 39070228 38815094 39021250 39019511 39026835 39026619 39023456 39024978 39020095 39014179 39025000 39272532 39053856 39035385 39032201 39064345 39042062 39040160 39061588 39036308 39050266 39037839 39048562 39040107 39043008 39033717 39044477 39043806 39059167 39053088 39045605 39040962 
13 39064266 38822843 39016638 39029639 39020556 39016308 39021434 39014186 39020643 39028441 39023535 39031313 39273605 39028921 39047173 39048097 39041927 39038255 39044762 39048116 39046710 39044015 39047159 39047147 39047445 39042788 39044093 39050130 39042021 39044381 39051566 39034724 
14 39078258 38829368 39029650 39018686 39024244 39003580 39020793 39024228 39019615 39017461 39019611 39014808 39018304 39273469 39039852 39050274 39045553 39044510 39039100 39034592 39054508 39047073 39057077 39039165 39047825 39049251 39052768 39047562 39032996 39055370 39049301 39039751 
15 39072129 38826174 39026276 39025815 39017077 39022954 39026088 39025812 39017545 39015523 39022885 39035481 39024224 39026457 39264986 39038731 39050711 39039837 39046541 39046515 39052498 39048786 39059205 39041624 39044428 39051926 39050418 39048723 39045200 39036388 39035861 39039076 
16 39073828 38824306 39022402 39019026 39021020 39028364 39029470 39032339 39013268 39027850 39025330 39025610 39021813 39018052 39027452 39238854 39037600 39062316 39037211 39039890 39041499 39042850 39033790 39043724 39051398 39043013 39054608 39047280 39047335 39050558 39038887 39052562 
17 39063486 38833633 39032130 39028938 39024101 39030029 39009027 39023912 39017722 39017760 39018549 39022272 39022349 39028554 39030968 39020759 39265224 39028160 39052427 39045932 39046409 39040608 39048964 39041685 39037435 39046279 39048467 39054660 39040393 39055440 39059430 39051085 
18 39064174 38815377 39021124 39027911 39024906 39026936 39019661 39020949 39025823 39036376 39028352 39017800 39017175 39025290 39028858 39012608 39030009 39278100 39054936 39045013 39054916 39049345 39052660 39054375 39047085 39053799 39050185 39056763 39054259 39049324 39038873 39051359 
19 39057811 38827534 39018325 39031855 39015591 39019696 39020962 39026200 39021898 39028132 39037182 39022868 39033169 39013864 39020748 39012462 39019834 39017016 39265407 39043175 39051121 39050260 39057309 39054491 39051426 39042183 39049401 39039286 39064675 39038982 39046431 39047633 
20 39058797 38821661 39020368 39030571 39023808 39020369 39025219 39026560 39022253 39029135 39001772 39017851 39030635 39024376 39030234 39027197 39032601 39036087 39022945 39271515 39031823 39041972 39058831 39046345 39043595 39046820 39060130 39052257 39047030 39047095 39060685 39050842 
21 39043260 38823368 39024294 39014461 39024739 39034749 39023835 39009953 39011518 39017210 39021002 39028366 39022377 39030208 39030298 39010104 39030730 39025922 39027415 39021777 39261209 39037200 39047538 39046128 39049951 39042698 39047014 39048992 39052786 39041592 39047049 39044022 
22 39046770 38819825 39037429 39025816 39016490 39019101 39027387 39027101 39037479 39023136 39025300 39024136 39026046 39019132 39017120 39019501 39018626 39020430 39027685 39031659 39027947 39245672 39042038 39058036 39056127 39040877 39051912 39056344 39049417 39040834 39046744 39029033 
23 39046790 38840042 39024917 39022242 39031310 39031277 39014944 39031563 39032485 39027012 39016442 39023532 39018466 39027109 39031530 39018094 39033096 39007501 39030346 39021957 39027157 39039370 39250778 39051722 39057719 39047488 39050493 39037696 39041480 39043859 39039915 39048920 
24 39049654 38838282 39026340 39009958 39026433 39033183 39015832 39014906 39034865 39033417 39019074 39020384 39025813 39027253 39020970 39026343 39024864 39027942 39019772 39019388 39018451 39034920 39036355 39242784 39055677 39054414 39042696 39049302 39048774 39051379 39044908 39046338 
25 39050667 38827749 39023608 39030440 39030302 39027113 39022896 39028473 39018431 39021943 39015876 39012337 39038782 39020326 39017230 39026145 39016566 39022972 39032130 39026485 39024554 39024126 39023855 39028050 39250624 39048934 39042262 39046795 39057481 39039004 39066800 39055179 
26 39040300 38836529 39024977 39020610 39026769 39014150 39018230 39023144 39036782 39015107 39026148 39030992 39013528 39023595 39016460 39028391 39037976 39028295 39026720 39022803 39023766 39023350 39023438 39017761 39024080 39245952 39034796 39058534 39042237 39043695 39050620 39051955 
27 39041434 38839090 39044143 39023872 39029874 39031731 39029432 39025639 39020620 39026853 39028112 39025935 39029099 39029897 39015015 39026485 39026716 39025707 39024969 39028833 39028194 39030775 39030784 39014933 39022480 39032255 39236827 39049227 39052529 39052741 39043247 39049225 
28 39026736 38834139 39030537 39031887 39028657 39027596 39021931 39020423 39030018 39026589 39023428 39011461 39028971 39037419 39031514 39022451 39016922 39027909 39024024 39038070 39019587 39018883 39025240 39036062 39037271 39033026 39022901 39237400 39050316 39047035 39048466 39057821 
29 39031356 38844117 39029577 39016468 39031809 39024261 39021669 39022464 39028007 39031883 39022953 39017726 39033186 39033104 39031836 39024902 39024465 39021561 39019580 39033342 39037319 39025194 39026491 39034015 39020384 39015798 39034995 39032097 39230404 39045749 39045421 39050397 
30 39036102 38840489 39033553 39028449 39033228 39014514 39025662 39018588 39013795 39030949 39033363 39024168 39020651 39022637 39030059 39010593 39022483 39015200 39028590 39025828 39027022 39017706 39025010 39026358 39016751 39030784 39033191 39028482 39021388 39235549 39048881 39042095 
31 39045329 38830139 39024785 39026367 39027931 39030316 39030725 39017123 39040545 39020039 39015051 39024036 39044427 39032334 39025339 39020068 39032082 39021340 39032490 39023968 39030911 39020155 39035340 39027401 39037287 39026297 39032696 39035887 39033105 39030814 39237506 39038409 
32 39036478 38836516 39019676 39023873 39027666 39028616 39035020 39014791 39021290 39021569 39024269 39020965 39018523 39023704 39020800 39015509 39032658 39016384 39027019 39024515 39023254 39035874 39042576 39024118 39022499 39023027 39028174 39033675 39022172 39024520 39031449 39221766 
33 39025056 38853746 39031157 39029583 39018805 39034143 39030637 39026991 39023947 39020388 39021211 39025167 39031874 39026248 39019439 39026331 39038734 39024703 39034239 39021756 39029945 39028542 39035534 39024313 39011409 39034312 39027132 39007315 39033899 39037795 39023493 39009070 
34 39022331 38839743 39031414 39021023 39031695 39014666 39030426 39022835 39022354 39012735 39028107 39030038 39019371 39031261 39038721 39036743 39040036 39032163 39026366 39020673 39015477 39031485 39040982 39029517 39036915 39035666 39025952 39030181 39030070 39030250 39023505 39021869 
35 39037016 38849977 39023660 39019475 39039213 39029877 39017191 39037453 39031532 39025749 39021103 39018671 39029303 39034798 39028874 39015917 39028840 39034974 39028847 39038286 39026250 39028833 39021787 39041218 39029015 39037666 39034645 39030881 39027490 39034935 39047450 39021117 
