n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
23 4290923 4285880 4296494 4291963 4290956 4293132 4298280 4296253 4299110 4300336 4305189 4294329 4297409 4298154 4293324 4290738 4294014 4298569 4304198 4295992 4290949 4299667 4298648 4301915 4296976 4291902 4294341 4292507 4295555 4302978 4293458 4309238 
24 4287997 4288106 4294893 4293673 4292608 4291296 4300680 4294182 4299056 4298988 4303447 4293387 4300172 4297597 4295038 4293183 4295692 4297133 4298613 4299057 4296045 4298224 4297699 4298600 4293568 4296910 4295153 4293157 4295163 4301002 4294540 4288793 
25 4290844 4285492 4290650 4293394 4292445 4295306 4298519 4295772 4296117 4304547 4301672 4294242 4294137 4299430 4290926 4293564 4293205 4295299 4302333 4297547 4297306 4295982 4296906 4298825 4298754 4290496 4292812 4290379 4293009 4300115 4313587 4295254 
26 4288055 4286664 4294521 4296490 4298868 4294281 4297661 4297327 4298299 4299308 4302416 4294909 4297069 4300700 4296265 4292589 4292960 4299804 4302674 4294396 4293077 4294485 4294898 4296348 4297905 4293359 4292762 4289629 4292544 4302734 4296471 4288214 
27 4285593 4284966 4294883 4293261 4291248 4293897 4297474 4295809 4297950 4299820 4302090 4293797 4297473 4298330 4296514 4292876 4295552 4294872 4300439 4295762 4290624 4297062 4295714 4297858 4295636 4295021 4294003 4295580 4294597 4302364 4292694 4291026 
28 4287745 4286252 4294569 4290499 4293030 4294643 4301081 4296439 4295913 4299723 4304152 4294586 4295697 4299729 4318010 4293389 4295384 4299463 4301607 4294217 4295513 4295335 4292348 4297726 4295637 4291935 4291848 4293987 4291669 4300091 4294579 4290652 
29 4287890 4282419 4291869 4291809 4296228 4298724 4300002 4300175 4295777 4300612 4301119 4295023 4300043 4295436 4296287 4290754 4290534 4295716 4301228 4297450 4297152 4297890 4294620 4297693 4296461 4294079 4297992 4290264 4296644 4302934 4295308 4292853 
30 4287645 4283650 4292022 4292454 4296289 4294231 4301312 4297041 4296660 4303269 4302077 4290615 4294204 4296390 4294827 4293673 4296378 4298648 4301235 4299848 4293726 4294310 4296245 4297014 4294592 4292777 4292201 4291908 4293066 4299666 4294683 4291899 
31 4289696 4285576 4294060 4290734 4293348 4292750 4299966 4295280 4298078 4299871 4305134 4293100 4296440 4304212 4296684 4290684 4294446 4300593 4301709 4297020 4292632 4297313 4294863 4296791 4295278 4293163 4296227 4293352 4292667 4298123 4295591 4290762 
32 4299392 4285327 4294931 4294841 4293830 4291869 4298112 4297175 4295993 4299981 4301498 4299873 4300198 4294961 4295418 4289898 4295950 4292576 4301207 4302269 4293647 4299100 4299768 4298608 4298791 4295147 4294788 4293321 4296154 4303427 4295727 4292332 
33 4299860 4285601 4291712 4294911 4296145 4290392 4296217 4298373 4298766 4302237 4300152 4297460 4295286 4294477 4295071 4290001 4295731 4293914 4299271 4298205 4315067 4297587 4298356 4297616 4298017 4292303 4295530 4294714 4292676 4300303 4293022 4292845 
34 4299700 4289710 4293793 4292826 4295612 4291480 4295419 4297209 4295555 4300219 4295566 4295810 4294879 4294425 4292622 4292764 4295200 4299184 4299545 4294133 4294324 4298229 4297406 4294035 4295251 4296846 4292872 4298233 4294972 4302545 4292498 4299265 
