n P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 P25 P26 P27 P28 P29 P30 P31 P32 
0 38940059 78182426 39120623 39256639 39264626 39246731 39255623 39260689 39262826 39249898 39257209 39251216 39254235 39254318 39255724 39254516 39244755 39247787 39248635 39236374 39248827 39241946 39235333 39236443 39230945 39228890 39224267 39238557 39233293 39237522 39228277 39223140 
1 39037603 38762152 39065525 39044691 39043657 39033416 39036040 39044525 39045897 39045346 39049311 39051047 39037700 39046778 39044014 39038615 39045058 39050010 39041170 39052724 39047539 39034644 39046985 39033689 39039059 39040157 39054698 39033806 39046180 39038129 39053329 39034735 
2 39069517 38554056 39022229 39193372 39034068 39030989 39046497 39043015 39039597 39042446 39036746 39050806 39046036 39050152 39040368 39038914 39050690 39039231 39049633 39042291 39035893 39038032 39057352 39051065 39038781 39043661 39044343 39037826 39044535 39050755 39030354 39046759 
3 39118441 38810797 39107659 39031386 39050407 39044405 39046980 39052368 39034979 39037229 39041734 39046668 39039208 39048120 39045923 39044492 39032677 39038867 39043122 39049848 39047123 39045557 39036630 39043694 39043759 39041080 39032950 39036974 39041366 39041386 39038127 39035047 
4 39101487 38800517 39021856 39251679 39040451 39056939 39043904 39049128 39047479 39051843 39047586 39050345 39046290 39048417 39060590 39052823 39052760 39044826 39044874 39060201 39048702 39060877 39041444 39041834 39042496 39055049 39048718 39047162 39035848 39050690 39042261 39036187 
5 39094261 38802968 39024417 39008429 39298510 39048356 39040609 39046900 39051074 39052406 39050412 39049673 39039898 39045596 39053377 39037314 39041658 39052179 39050303 39050972 39040007 39045938 39042481 39047254 39044137 39045668 39044706 39051383 39039657 39034345 39041508 39044323 
6 39103083 38804733 39025366 39021845 39022551 39311138 39044107 39049004 39043194 39033687 39050200 39042726 39042341 39050437 39048407 39045003 39052698 39052258 39054221 39044374 39038554 39044494 39045901 39039640 39052565 39051173 39036793 39042741 39050311 39047593 39051323 39044182 
7 39085999 38804334 39014520 39015647 39011088 39023462 39316680 39040701 39056826 39040787 39036838 39054645 39052226 39034894 39045524 39036074 39045536 39048353 39045745 39032644 39046497 39037556 39052525 39043174 39041053 39056277 39043403 39041679 39036863 39034139 39039238 39044642 
8 39107363 38802747 39026448 39005228 39014811 39026477 39011810 39302441 39029289 39047381 39044728 39039646 39052097 39040335 39042688 39049157 39048729 39056664 39055709 39047650 39038999 39046246 39043726 39059350 39051290 39048311 39039330 39042479 39035937 39055772 39040322 39040247 
9 39089500 38817091 39018569 39015839 39021434 39017929 39017157 39027150 39288838 39047292 39042603 39048852 39045196 39035964 39034342 39051092 39042322 39048028 39033620 39048684 39052429 39039270 39036834 39041824 39039974 39047684 39050170 39040060 39040344 39044306 39050076 39054223 
10 39086042 38825535 39023894 39022293 39027561 39017845 39022829 39023007 39019648 39287696 39043785 39047108 39033086 39036728 39042072 39051595 39044792 39046340 39046881 39028040 39049421 39051971 39049597 39044096 39039337 39050056 39042311 39055035 39043344 39056122 39047037 39044069 
11 39071899 38822316 39030033 39016724 39023695 39039148 39029572 39029267 39014643 39016903 39284205 39034348 39049325 39047111 39036289 39035925 39042508 39039422 39046743 39047401 39042091 39053162 39049800 39044777 39043290 39038494 39037070 39037026 39054398 39039028 39049875 39048008 
12 39073739 38801813 39022336 39021144 39029975 39027664 39027584 39024488 39029792 39020987 39019619 39281251 39045657 39047762 39042946 39055305 39042842 39039982 39054285 39052329 39045439 39054371 39056368 39037465 39042514 39036208 39046457 39049173 39049222 39053746 39055295 39033636 
13 39067849 38820733 39021442 39025530 39015037 39014777 39019405 39020866 39022101 39026994 39028676 39014924 39273043 39038434 39043689 39049046 39041861 39045496 39048968 39045180 39045218 39046979 39051477 39055865 39049952 39037093 39047851 39051900 39038211 39036581 39044577 39040033 
14 39079467 38831500 39018487 39024130 39021255 39013272 39014636 39028540 39016881 39013221 39029429 39012372 39016780 39278219 39043405 39051947 39042525 39059572 39036810 39040329 39050331 39038643 39044887 39047713 39047039 39047398 39056604 39046389 39052291 39061282 39039037 39044835 
